Year,Види економічної діяльності,Область,Value
2017,"Торгівля мотоциклами, деталями та приладдям до них, технічне обслуговування і ремонт мотоциклів",,
2017,"Діяльність посередників у торгівлі сільськогосподарською сировиною, живими тваринами, текстильною сировиною та напівфабрикатами",,
2017,"Діяльність посередників у торгівлі паливом, рудами, металами та промисловими хімічними речовинами",,
2017,"Діяльність посередників у торгівлі деревиною, будівельними матеріалами та санітарно-технічними виробами",,
2017,"Діяльність посередників у торгівлі машинами, промисловим устаткованням, суднами та літаками",,
2017,"Діяльність посередників у торгівлі меблями, господарськими товарами, залізними та іншими металевими виробами",,
2017,"Діяльність посередників у торгівлі текстильними виробами, одягом, хутром, взуттям і шкіряними виробами",,
2017,"Діяльність посередників у торгівлі продуктами харчування, напоями та тютюновими виробами",,
2017,"Діяльність посередників, що спеціалізуються в торгівлі іншими товарами",,
2017,Діяльність посередників у торгівлі товарами широкого асортименту,,
2017,"Оптова торгівля зерном, необробленим тютюном, насінням і кормами для тварин",,
2017,Оптова торгівля квітами та рослинами,,
2017,Оптова торгівля живими тваринами,,
2017,"Оптова торгівля шкірсировиною, шкурами та шкірою",,
2017,Оптова торгівля фруктами й овочами,,
2017,Оптова торгівля м'ясом і м'ясними продуктами,,
2017,"Оптова торгівля молочними продуктами, яйцями, харчовими оліями та жирами",,
2017,Оптова торгівля напоями,,
2017,Оптова торгівля тютюновими виробами,,
2017,"Оптова торгівля цукром, шоколадом і кондитерськими виробами",,
2017,"Оптова торгівля кавою, чаєм, какао та прянощами",,
2017,"Оптова торгівля іншими продуктами харчування, у тому числі рибою, ракоподібними і молюсками",,
2017,"Неспеціалізована оптова торгівля продуктами харчування, напоями та тютюновими виробами",,
2017,Оптова торгівля текстильними товарами,,
2017,Оптова торгівля одягом і взуттям,,
2017,"Оптова торгівля побутовими електротоварами й електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,
2017,"Оптова торгівля фарфором, скляним посудом і засобами для чищення",,
2017,Оптова торгівля парфумними та косметичними товарами,,
2017,Оптова торгівля фармацевтичними товарами,,
2017,"Оптова торгівля меблями, килимами й освітлювальним приладдям",,
2017,Оптова торгівля годинниками та ювелірними виробами,,
2017,Оптова торгівля іншими товарами господарського призначення,,
2017,"Оптова торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням",,
2017,"Оптова торгівля електронним і телекомунікаційним устаткованням, деталями до нього",,
2017,Оптова торгівля сільськогосподарськими машинами й устаткованням,,
2017,Оптова торгівля верстатами,,
2017,Оптова торгівля машинами й устаткованням для добувної промисловості та будівництва,,
2017,"Оптова торгівля машинами й устаткованням для текстильного, швейного та трикотажного виробництва",,
2017,Оптова торгівля офісними меблями,,
2017,Оптова торгівля іншими офісними машинами й устаткованням,,
2017,Оптова торгівля іншими машинами й устаткованням,,
2017,"Оптова торгівля твердим, рідким, газоподібним паливом і подібними продуктами",,
2017,Оптова торгівля металами та металевими рудами,,
2017,"Оптова торгівля деревиною, будівельними матеріалами та санітарно-технічним обладнанням",,
2017,"Оптова торгівля залізними виробами, водопровідним і опалювальним устаткованням і приладдям до нього",,
2017,Оптова торгівля хімічними продуктами,,
2017,Оптова торгівля іншими проміжними продуктами,,
2017,Оптова торгівля відходами та брухтом,,
2017,Неспеціалізована оптова торгівля,,
2017,"Роздрібна торгівля в неспеціалізованих магазинах переважно продуктами харчування, напоями та тютюновими виробами",,
2017,Інші види роздрібної торгівлі в неспеціалізованих магазинах,,
2017,Роздрібна торгівля фруктами й овочами в спеціалізованих магазинах,,
2017,Роздрібна торгівля м'ясом і м'ясними продуктами в спеціалізованих магазинах,,
2017,"Роздрібна торгівля рибою, ракоподібними та молюсками в спеціалізованих магазинах",,
2017,"Роздрібна торгівля хлібобулочними виробами, борошняними та цукровими кондитерськими виробами в спеціалізованих магазинах",,
2017,Роздрібна торгівля напоями в спеціалізованих магазинах,,
2017,Роздрібна торгівля тютюновими виробами в спеціалізованих магазинах,,
2017,Роздрібна торгівля іншими продуктами харчування в спеціалізованих магазинах,,
2017,Роздрібна торгівля пальним,,
2017,"Роздрібна торгівля комп'ютерами, периферійним устаткованням і програмним забезпеченням у спеціалізованих магазинах",,
2017,Роздрібна торгівля телекомунікаційним устаткованням у спеціалізованих магазинах,,
2017,"Роздрібна торгівля в спеціалізованих магазинах електронною апаратурою побутового призначення для приймання, записування, відтворювання звуку й зображення",,
2017,Роздрібна торгівля текстильними товарами в спеціалізованих магазинах,,
2017,"Роздрібна торгівля залізними виробами, будівельними матеріалами та санітарно-технічними виробами в спеціалізованих магазинах",,
2017,"Роздрібна торгівля килимами, килимовими виробами, покриттям для стін і підлоги в спеціалізованих магазинах",,
2017,Роздрібна торгівля побутовими електротоварами в спеціалізованих магазинах,,
2017,"Роздрібна торгівля меблями, освітлювальним приладдям та іншими товарами для дому в спеціалізованих магазинах",,
2017,Роздрібна торгівля книгами в спеціалізованих магазинах,,
2017,Роздрібна торгівля газетами та канцелярськими товарами в спеціалізованих магазинах,,
2017,Роздрібна торгівля аудіо- та відеозаписами в спеціалізованих магазинах,,
2017,Роздрібна торгівля спортивним інвентарем у спеціалізованих магазинах,,
2017,Роздрібна торгівля іграми та іграшками в спеціалізованих магазинах,,
2017,Роздрібна торгівля одягом у спеціалізованих магазинах,,
2017,Роздрібна торгівля взуттям і шкіряними виробами в спеціалізованих магазинах,,
2017,Роздрібна торгівля фармацевтичними товарами в спеціалізованих магазинах,,
2017,Роздрібна торгівля медичними й ортопедичними товарами в спеціалізованих магазинах,,
2017,Роздрібна торгівля косметичними товарами та туалетними приналежностями в спеціалізованих магазинах,,
2017,"Роздрібна торгівля квітами, рослинами, насінням, добривами, домашніми тваринами та кормами для них у спеціалізованих магазинах",,
2017,Роздрібна торгівля годинниками та ювелірними виробами в спеціалізованих магазинах,,
2017,Роздрібна торгівля іншими невживаними товарами в спеціалізованих магазинах,,
2017,Роздрібна торгівля уживаними товарами в магазинах,,
2017,"Роздрібна торгівля з лотків і на ринках харчовими продуктами, напоями та тютюновими виробами",,
2017,"Роздрібна торгівля з лотків і на ринках текстильними виробами, одягом і взуттям",,
2017,Роздрібна торгівля з лотків і на ринках іншими товарами,,
2017,"Роздрібна торгівля, що здійснюється фірмами поштового замовлення або через мережу Інтернет",,
2017,Інші види роздрібної торгівлі поза магазинами,,
2017,Пасажирський залізничний транспорт міжміського сполучення,,
2017,Вантажний залізничний транспорт,,
2017,Пасажирський наземний транспорт міського та приміського сполучення,,
2017,Надання послуг таксі,,
2017,"Інший пасажирський наземний транспорт, н.в.і.у.",,
2017,Вантажний автомобільний транспорт,,
2017,Надання послуг перевезення речей (переїзду),,
2017,Пасажирський морський транспорт,,
2017,Вантажний морський транспорт,,
2017,Пасажирський річковий транспорт,,
2017,Вантажний річковий транспорт,,
2017,Пасажирський авіаційний транспорт,,
2017,Вантажний авіаційний транспорт,,
2017,Космічний транспорт,,
2017,Складське господарство,,
2017,Допоміжне обслуговування наземного транспорту,,
2017,Допоміжне обслуговування водного транспорту,,
2017,Допоміжне обслуговування авіаційного транспорту,,
2017,Транспортне оброблення вантажів,,
2017,Інша допоміжна діяльність у сфері транспорту,,
2017,Діяльність національної пошти,,
2017,Інша поштова та кур'єрська діяльність,,
2017,Діяльність готелів і подібних засобів тимчасового розміщування,,
2017,Діяльність засобів розміщування на період відпустки та іншого тимчасового проживання,,
2017,Надання місць кемпінгами та стоянками для житлових автофургонів і причепів,,
2017,Діяльність інших засобів тимчасового розміщування,,
2017,"Діяльність ресторанів, надання послуг мобільного харчування",,
2017,Постачання готових страв для подій,,
2017,Постачання інших готових страв,,
2017,Обслуговування напоями,,
2017,Видання книг,,
2017,Видання довідників і каталогів,,
2017,Видання газет,,
2017,Видання журналів і періодичних видань,,
2017,Інші види видавничої діяльності,,
2017,Видання комп'ютерних ігор,,
2017,Видання іншого програмного забезпечення,,
2017,"Виробництво кіно- та відеофільмів, телевізійних програм",,
2017,"Компонування кіно- та відеофільмів, телевізійних програм",,
2017,"Розповсюдження кіно- та відеофільмів, телевізійних програм",,
2017,Демонстрація кінофільмів,,
2017,Видання звукозаписів,,
2017,Діяльність у сфері радіомовлення,,
2017,Діяльність у сфері телевізійного мовлення,,
2017,Діяльність у сфері проводового електрозв'язку,,
2017,Діяльність у сфері безпроводового електрозв'язку,,
2017,Діяльність у сфері супутникового електрозв'язку,,
2017,Інша діяльність у сфері електрозв'язку,,
2017,Комп'ютерне програмування,,
2017,Консультування з питань інформатизації,,
2017,Діяльність із керування комп'ютерним устаткованням,,
2017,Інша діяльність у сфері інформаційних технологій і комп'ютерних систем,,
2017,"Оброблення даних, розміщення інформації на веб-вузлах і пов'язана з ними діяльність",,
2017,Веб-портали,,
2017,Діяльність інформаційних агентств,,
2017,"Надання інших інформаційних послуг, н.в.і.у.",,
2017,Діяльність центрального банку,,
2017,Інші види грошового посередництва,,
2017,Діяльність холдингових компаній,,
2017,"Трасти, фонди та подібні фінансові суб'єкти",,
2017,Фінансовий лізинг,,
2017,Інші види кредитування,,
2017,"Надання інших фінансових послуг (крім страхування та пенсійного забезпечення), н.в.і.у.",,
2017,Страхування життя,,
2017,"Інші види страхування, крім страхування життя",,
2017,Перестрахування,,
2017,Недержавне пенсійне забезпечення,,
2017,Управління фінансовими ринками,,
2017,Посередництво за договорами по цінних паперах або товарах,,
2017,"Інша допоміжна діяльність у сфері фінансових послуг, крім страхування та пенсійного забезпечення",,
2017,Оцінювання ризиків та завданої шкоди,,
2017,Діяльність страхових агентів і брокерів,,
2017,Інша допоміжна діяльність у сфері страхування та пенсійного забезпечення,,
2017,Управління фондами,,
2017,Купівля та продаж власного нерухомого майна,,
2017,Надання в оренду й експлуатацію  власного чи орендованого нерухомого майна,,
2017,Агентства нерухомості,,
2017,Управління нерухомим майном за винагороду або на основі контракту,,
2017,Діяльність у сфері права,,
2017,Діяльність у сфері бухгалтерського обліку й аудиту; консультування з питань оподаткування,,
2017,Діяльність головних управлінь (хед-офісів),,
2017,Діяльність у сфері зв'язків із громадськістю,,
2017,Консультування з питань комерційної діяльності й керування,,
2017,Діяльність у сфері архітектури,,
2017,"Діяльність у сфері інжинірингу, геології та геодезії, надання послуг технічного консультування в цих сферах",,
2017,Технічні випробування та дослідження,,
2017,Дослідження й експериментальні розробки у сфері біотехнологій,,
2017,Дослідження й експериментальні розробки у сфері інших природничих і технічних наук,,
2017,Дослідження й експериментальні розробки у сфері суспільних і гуманітарних наук,,
2017,Рекламні агентства,,
2017,Посередництво в розміщенні реклами в засобах масової інформації,,
2017,Дослідження кон'юнктури ринку та виявлення громадської думки,,
2017,Спеціалізована діяльність із дизайну,,
2017,Діяльність у сфері фотографії,,
2017,Надання послуг перекладу,,
2017,"Інша професійна, наукова та технічна діяльність, н.в.і.у.",,
2017,Ветеринарна діяльність,,
2017,Надання в оренду автомобілів і легкових автотранспортних засобів,,
2017,Надання в оренду вантажних автомобілів,,
2017,Прокат товарів для спорту та відпочинку,,
2017,Прокат відеозаписів і дисків,,
2017,Прокат інших побутових виробів і предметів особистого вжитку,,
2017,Надання в оренду сільськогосподарських машин і устатковання,,
2017,Надання в оренду будівельних машин і устатковання,,
2017,"Надання в оренду офісних машин і устатковання, у тому числі комп'ютерів",,
2017,Надання в оренду водних транспортних засобів,,
2017,Надання в оренду повітряних транспортних засобів,,
2017,"Надання в оренду інших машин, устатковання та товарів, н.в.і.у.",,
2017,"Лізинг інтелектуальної власності та подібних продуктів, крім творів, захищених авторськими правами",,
2017,Діяльність агентств працевлаштування,,
2017,Діяльність агентств тимчасового працевлаштування,,
2017,Інша діяльність із забезпечення трудовими ресурсами,,
2017,Діяльність туристичних агентств,,
2017,Діяльність туристичних операторів,,
2017,Надання інших послуг із бронювання та пов'язана з цим діяльність,,
2017,Діяльність приватних охоронних служб,,
2017,Обслуговування систем безпеки,,
2017,Проведення розслідувань,,
2017,Комплексне обслуговування об'єктів,,
2017,Загальне прибирання будинків,,
2017,Інша діяльність із прибирання будинків і промислових об'єктів,,
2017,Інші види діяльності з прибирання,,
2017,Надання ландшафтних послуг,,
2017,Надання комбінованих офісних адміністративних послуг,,
2017,"Фотокопіювання, підготування документів та інша спеціалізована допоміжна офісна діяльність",,
2017,Діяльність телефонних центрів,,
2017,Організування конгресів і торговельних виставок,,
2017,Діяльність агентств зі стягування платежів і бюро кредитних історій,,
2017,Пакування,,
2017,"Надання інших допоміжних комерційних послуг, н.в.і.у.",,
2017,Державне управління загального характеру,,
2017,"Регулювання у сферах охорони здоров'я, освіти, культури та інших соціальних сферах, крім обов'язкового соціального страхування",,
2017,Регулювання та сприяння ефективному веденню економічної діяльності,,
2017,Міжнародна діяльність,,
2017,Діяльність у сфері оборони,,
2017,Діяльність у сфері юстиції та правосуддя,,
2017,Діяльність у сфері охорони громадського порядку та безпеки,,
2017,Діяльність пожежних служб,,
2017,Діяльність у сфері обов'язкового  соціального страхування,,
2017,Дошкільна освіта,,
2017,Початкова освіта,,
2017,Загальна середня освіта,,
2017,Професійно-технічна освіта,,
2017,Фахова передвища освіта,,
2017,Вища освіта,,
2017,Освіта у сфері спорту та відпочинку,,
2017,Освіта у сфері культури,,
2017,Діяльність шкіл підготовки водіїв транспортних засобів,,
2017,"Інші види освіти, н.в.і.у.",,
2017,Допоміжна діяльність у сфері освіти,,
2017,Діяльність лікарняних закладів,,
2017,Загальна медична практика,,
2017,Спеціалізована медична практика,,
2017,Стоматологічна практика,,
2017,Інша діяльність у сфері охорони здоров'я,,
2017,Діяльність із догляду за хворими із забезпеченням проживання,,
2017,Надання послуг догляду із забезпеченням проживання для осіб з розумовими вадами та хворих на наркоманію,,
2017,Надання послуг догляду із забезпеченням проживання для осіб похилого віку та інвалідів,,
2017,Надання інших послуг догляду із забезпеченням проживання,,
2017,Надання соціальної допомоги без забезпечення проживання для осіб похилого віку та інвалідів,,
2017,Денний догляд за дітьми,,
2017,"Надання іншої соціальної допомоги без забезпечення проживання, н.в.і.у.",,
2017,Театральна та концертна діяльність,,
2017,Діяльність із підтримки театральних і концертних заходів,,
2017,Індивідуальна мистецька діяльність,,
2017,Функціювання театральних і концертних залів,,
2017,Функціювання бібліотек і архівів,,
2017,Функціювання музеїв,,
2017,"Діяльність із охорони  та використання пам'яток історії, будівель та інших пам'яток культури",,
2017,"Функціювання ботанічних садів, зоопарків і природних заповідників",,
2017,Організування азартних ігор,,
2017,Функціювання спортивних споруд,,
2017,Діяльність спортивних клубів,,
2017,Діяльність фітнес-центрів,,
2017,Інша діяльність у сфері спорту,,
2017,Функціювання атракціонів і тематичних парків,,
2017,Організування інших видів відпочинку та розваг,,
2017,Діяльність організацій промисловців і підприємців,,
2017,Діяльність професійних громадських організацій,,
2017,Діяльність професійних спілок,,
2017,Діяльність релігійних організацій,,
2017,Діяльність політичних організацій,,
2017,"Діяльність інших громадських організацій, н.в.і.у.",,
2017,Ремонт комп'ютерів і периферійного устатковання,,
2017,Ремонт обладнання зв'язку,,
2017,"Ремонт електронної апаратури побутового призначення для приймання, записування, відтворювання звуку й зображення",,
2017,"Ремонт побутових приладів, домашнього та садового обладнання",,
2017,Ремонт взуття та шкіряних виробів,,
2017,Ремонт меблів і домашнього начиння,,
2017,Ремонт годинників і ювелірних виробів,,
2017,Ремонт інших побутових виробів і предметів особистого вжитку,,
2017,Прання та хімічне чищення текстильних і хутряних виробів,,
2017,Надання послуг перукарнями та салонами краси,,
2017,Організування поховань і надання суміжних послуг,,
2017,Діяльність із забезпечення фізичного комфорту,,
2017,"Надання інших індивідуальних послуг, н.в.і.у.",,
2017,Діяльність домашніх господарств як роботодавців для домашньої прислуги,,
2017,Діяльність домашніх господарств як виробників товарів для власного споживання,,
2017,Діяльність домашніх господарств як виробників послуг для власного споживання,,
2017,Діяльність екстериторіальних організацій і органів,,
2017,Відсутній код за КВЕД-2010,,
2017,,Автономна Республіка Крим,
2017,,Вінницька,
2017,,Волинська,
2017,,Дніпропетровська,
2017,,Донецька,
2017,,Житомирська,
2017,,Закарпатська,
2017,,Запорізька,
2017,,Івано-Франківська,
2017,,Київська,
2017,,Кіровоградська,
2017,,Луганська,
2017,,Львівська,
2017,,Миколаївська,
2017,,Одеська,
2017,,Полтавська,
2017,,Рівненська,
2017,,Сумська,
2017,,Тернопільська,
2017,,Харківська,
2017,,Херсонська,
2017,,Хмельницька,
2017,,Черкаська,
2017,,Чернівецька,
2017,,Чернігівська,
2017,,м. Київ,
2017,,м. Севастополь,
2018,,,
2018,"Вирощування зернових культур (крім рису), бобових культур і насіння олійних культур",,
2018,Вирощування рису,,
2018,"Вирощування овочів і баштанних культур, коренеплодів і бульбоплодів",,
2018,Вирощування тютюну,,
2018,Вирощування прядивних культур,,
2018,Вирощування інших однорічних і дворічних культур,,
2018,Вирощування винограду,,
2018,Вирощування тропічних і субтропічних фруктів,,
2018,Вирощування цитрусових,,
2018,Вирощування зерняткових і кісточкових фруктів,,
2018,"Вирощування ягід, горіхів, інших плодових дерев і чагарників",,
2018,Вирощування олійних плодів,,
2018,"Вирощування пряних, ароматичних і лікарських культур",,
2018,Вирощування інших багаторічних культур,,
2018,Відтворення рослин,,
2018,Розведення великої рогатої худоби молочних порід,,
2018,Розведення іншої великої рогатої худоби та буйволів,,
2018,Розведення коней та інших тварин родини конячих,,
2018,Розведення овець і кіз,,
2018,Розведення свиней,,
2018,Розведення свійської птиці,,
2018,Розведення інших тварин,,
2018,Змішане сільське господарство,,
2018,Допоміжна діяльність у рослинництві,,
2018,Допоміжна діяльність у тваринництві,,
2018,Післяурожайна діяльність,,
2018,Оброблення насіння для відтворення,,
2018,"Мисливство, відловлювання тварин і надання пов'язаних із ними послуг",,
2018,Лісівництво та інша діяльність у лісовому господарстві,,
2018,Лісозаготівлі,,
2018,Збирання дикорослих недеревних продуктів,,
2018,Надання допоміжних послуг у лісовому господарстві,,
2018,Морське рибальство,,
2018,Прісноводне рибальство,,
2018,Морське рибництво (аквакультура),,
2018,Прісноводне рибництво (аквакультура),,
2018,Добування бурого вугілля,,
2018,"Добування декоративного та будівельного каменю, вапняку, гіпсу, крейди та глинистого сланцю",,
2018,"Добування піску, гравію, глин і каоліну",,
2018,"Добування інших корисних копалин та розроблення кар'єрів, н.в.і.у.",,
2018,Надання допоміжних послуг у сфері добування інших корисних копалин та розроблення кар'єрів,,
2018,Виробництво м'яса,,
2018,Виробництво м'яса свійської птиці,,
2018,Виробництво м'ясних продуктів,,
2018,"Перероблення та консервування риби, ракоподібних і молюсків",,
2018,Перероблення та консервування картоплі,,
2018,Виробництво фруктових і овочевих соків,,
2018,Інші види перероблення та консервування фруктів і овочів,,
2018,Виробництво олії та тваринних жирів,,
2018,Виробництво маргарину і подібних харчових жирів,,
2018,"Перероблення молока, виробництво масла та сиру",,
2018,Виробництво морозива,,
2018,Виробництво продуктів борошномельно-круп'яної промисловості,,
2018,"Виробництво хліба та хлібобулочних виробів; виробництво борошняних кондитерських виробів, тортів і тістечок нетривалого зберігання",,
2018,"Виробництво сухарів і сухого печива; виробництво борошняних кондитерських виробів, тортів і тістечок тривалого зберігання",,
2018,Виробництво макаронних виробів та подібних борошняних виробів,,
2018,Виробництво цукру,,
2018,"Виробництво какао, шоколаду та цукрових кондитерських виробів",,
2018,Виробництво чаю та кави,,
2018,Виробництво прянощів і приправ,,
2018,Виробництво готової їжі та страв,,
2018,Виробництво дитячого харчування та дієтичних харчових продуктів,,
2018,"Виробництво інших харчових продуктів, н.в.і.у.",,
2018,"Виробництво готових кормів для тварин, що утримуються на фермах",,
2018,Виробництво готових кормів для домашніх тварин,,
2018,Виробництво виноградних вин,,
2018,Виробництво сидру та інших плодово-ягідних вин,,
2018,Виробництво інших недистильованих напоїв із зброджуваних продуктів,,
2018,Виробництво пива,,
2018,"Виробництво безалкогольних напоїв; виробництво мінеральних вод та інших вод, розлитих у пляшки",,
2018,Виробництво тютюнових виробів,,
2018,Підготування та прядіння текстильних волокон,,
2018,Ткацьке виробництво,,
2018,Оздоблення текстильних виробів,,
2018,Виробництво трикотажного полотна,,
2018,"Виробництво готових текстильних виробів, крім одягу",,
2018,Виробництво килимів і килимових виробів,,
2018,"Виробництво канатів, мотузок, шпагату та сіток",,
2018,"Виробництво нетканих текстильних матеріалів та виробів із них, крім одягу",,
2018,Виробництво інших текстильних виробів технічного та промислового призначення,,
2018,"Виробництво інших текстильних виробів, н.в.і.у.",,
2018,Виробництво одягу зі шкіри,,
2018,Виробництво робочого одягу,,
2018,Виробництво іншого верхнього одягу,,
2018,Виробництво спіднього одягу,,
2018,Виробництво іншого одягу й аксесуарів,,
2018,Виготовлення виробів із хутра,,
2018,Виробництво панчішно-шкарпеткових виробів,,
2018,Виробництво іншого трикотажного та в'язаного одягу,,
2018,Дублення шкур і оздоблення шкіри; вичинка та фарбування хутра,,
2018,"Виробництво дорожніх виробів, сумок, лимарно-сідельних виробів зі шкіри та інших матеріалів",,
2018,Виробництво взуття,,
2018,Лісопильне та стругальне виробництво,,
2018,"Виробництво фанери, дерев'яних плит і панелей, шпону",,
2018,Виробництво інших дерев'яних будівельних конструкцій і столярних виробів,,
2018,Виробництво дерев'яної тари,,
2018,"Виробництво інших виробів з деревини; виготовлення виробів з корка, соломки та рослинних матеріалів для плетіння",,
2018,Виробництво паперової маси,,
2018,Виробництво паперу та картону,,
2018,"Виробництво гофрованого паперу та картону, паперової та картонної тари",,
2018,Виробництво паперових виробів господарсько-побутового та санітарно-гігієнічного призначення,,
2018,Виробництво паперових канцелярських виробів,,
2018,Виробництво шпалер,,
2018,Виробництво інших виробів з паперу та картону,,
2018,Друкування газет,,
2018,Друкування іншої продукції,,
2018,Виготовлення друкарських форм і надання інших поліграфічних послуг,,
2018,Брошурувально-палітурна діяльність і надання пов'язаних із нею послуг,,
2018,"Тиражування звуко-, відеозаписів і програмного забезпечення",,
2018,Виробництво коксу та коксопродуктів,,
2018,Виробництво продуктів нафтоперероблення,,
2018,Виробництво промислових газів,,
2018,Виробництво барвників і пігментів,,
2018,Виробництво інших основних неорганічних хімічних речовин,,
2018,Виробництво інших основних органічних хімічних речовин,,
2018,Виробництво добрив і азотних сполук,,
2018,Виробництво пластмас у первинних формах,,
2018,Виробництво синтетичного каучуку в первинних формах,,
2018,Виробництво пестицидів та іншої агрохімічної продукції,,
2018,"Виробництво фарб, лаків і подібної продукції, друкарської фарби та мастик",,
2018,"Виробництво мила та мийних засобів, засобів для чищення та полірування",,
2018,Виробництво парфумних і косметичних засобів,,
2018,Виробництво вибухових речовин,,
2018,Виробництво клеїв,,
2018,Виробництво ефірних олій,,
2018,"Виробництво іншої хімічної продукції, н.в.і.у.",,
2018,Виробництво штучних і синтетичних волокон,,
2018,Виробництво основних фармацевтичних продуктів,,
2018,Виробництво фармацевтичних препаратів і матеріалів,,
2018,"Виробництво гумових шин, покришок і камер; відновлення протектора гумових шин і покришок",,
2018,Виробництво інших гумових виробів,,
2018,"Виробництво плит, листів, труб і профілів із пластмас",,
2018,Виробництво тари з пластмас,,
2018,Виробництво будівельних виробів із пластмас,,
2018,Виробництво інших виробів із пластмас,,
2018,Виробництво листового скла,,
2018,Формування й оброблення листового скла,,
2018,Виробництво порожнистого скла,,
2018,Виробництво скловолокна,,
2018,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,
2018,Виробництво вогнетривких виробів,,
2018,Виробництво керамічних плиток і плит,,
2018,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,
2018,Виробництво господарських і декоративних керамічних виробів,,
2018,Виробництво керамічних санітарно-технічних виробів,,
2018,Виробництво керамічних електроізоляторів та ізоляційної арматури,,
2018,Виробництво інших керамічних виробів,,
