Year,Азовське море,Чорне море,Дніпровсько-Бузька естуарна система,Пониззя Дністра з озерами та Дністровський лиман,Тузловська група лиманів,Будацький (Шаболатський) лиман,Березанський лиман,Тилігульський лиман,Value
2018,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2019,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2020,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2021,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2022,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2023,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,
2024,,,,"Бички (крім видів, занесених до Червоної книги України)",,,,,6.8
2015,,,,Білизна звичайна,,,,,
2016,,,,Білизна звичайна,,,,,
2017,,,,Білизна звичайна,,,,,
2018,,,,Білизна звичайна,,,,,
2019,,,,Білизна звичайна,,,,,
2020,,,,Білизна звичайна,,,,,
2021,,,,Білизна звичайна,,,,,
2022,,,,Білизна звичайна,,,,,
2023,,,,Білизна звичайна,,,,,
2024,,,,Білизна звичайна,,,,,38.7
2015,,,,Карась сріблястий,,,,,
2016,,,,Карась сріблястий,,,,,
2017,,,,Карась сріблястий,,,,,
2018,,,,Карась сріблястий,,,,,
2019,,,,Карась сріблястий,,,,,
2020,,,,Карась сріблястий,,,,,
2021,,,,Карась сріблястий,,,,,
2022,,,,Карась сріблястий,,,,,
2023,,,,Карась сріблястий,,,,,
2024,,,,Карась сріблястий,,,,,47.73
2015,,,,Краснопірка,,,,,
2016,,,,Краснопірка,,,,,
2017,,,,Краснопірка,,,,,
2018,,,,Краснопірка,,,,,
2019,,,,Краснопірка,,,,,
2020,,,,Краснопірка,,,,,
2021,,,,Краснопірка,,,,,
2022,,,,Краснопірка,,,,,
2023,,,,Краснопірка,,,,,
2024,,,,Краснопірка,,,,,16.48
2015,,,,Лящ,,,,,
2016,,,,Лящ,,,,,
2017,,,,Лящ,,,,,
2018,,,,Лящ,,,,,
2019,,,,Лящ,,,,,
2020,,,,Лящ,,,,,
2021,,,,Лящ,,,,,
2022,,,,Лящ,,,,,
2023,,,,Лящ,,,,,
2024,,,,Лящ,,,,,68.37
2015,,,,Окунь звичайний,,,,,
2016,,,,Окунь звичайний,,,,,
2017,,,,Окунь звичайний,,,,,
2018,,,,Окунь звичайний,,,,,
2019,,,,Окунь звичайний,,,,,
2020,,,,Окунь звичайний,,,,,
2021,,,,Окунь звичайний,,,,,
2022,,,,Окунь звичайний,,,,,
2023,,,,Окунь звичайний,,,,,
2024,,,,Окунь звичайний,,,,,29.07
2015,,,,Оселедець чорноморський,,,,,
2016,,,,Оселедець чорноморський,,,,,
2017,,,,Оселедець чорноморський,,,,,
2018,,,,Оселедець чорноморський,,,,,
2019,,,,Оселедець чорноморський,,,,,
2020,,,,Оселедець чорноморський,,,,,
2021,,,,Оселедець чорноморський,,,,,
2022,,,,Оселедець чорноморський,,,,,
2023,,,,Оселедець чорноморський,,,,,
2024,,,,Оселедець чорноморський,,,,,4.06
2015,,,,Плоскирка,,,,,
2016,,,,Плоскирка,,,,,
2017,,,,Плоскирка,,,,,
2018,,,,Плоскирка,,,,,
2019,,,,Плоскирка,,,,,
2020,,,,Плоскирка,,,,,
2021,,,,Плоскирка,,,,,
2022,,,,Плоскирка,,,,,
2023,,,,Плоскирка,,,,,
2024,,,,Плоскирка,,,,,46.28
2015,,,,Раки,,,,,
2016,,,,Раки,,,,,
2017,,,,Раки,,,,,28.85
2018,,,,Раки,,,,,31.95
2019,,,,Раки,,,,,31.55
2020,,,,Раки,,,,,
2021,,,,Раки,,,,,37.25
2022,,,,Раки,,,,,31.58
2023,,,,Раки,,,,,21.4
2024,,,,Раки,,,,,
2015,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2016,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2017,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2018,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2019,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2020,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2021,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2022,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2023,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,
2024,,,,"Рослиноїдні (білий, строкатий товстолоби, їх гібрид)",,,,,60.58
2015,,,,Сазан,,,,,
2016,,,,Сазан,,,,,
2017,,,,Сазан,,,,,
2018,,,,Сазан,,,,,
2019,,,,Сазан,,,,,
2020,,,,Сазан,,,,,
2021,,,,Сазан,,,,,
2022,,,,Сазан,,,,,
2023,,,,Сазан,,,,,
2024,,,,Сазан,,,,,71.27
2015,,,,Сом європейський,,,,,
2016,,,,Сом європейський,,,,,
2017,,,,Сом європейський,,,,,
2018,,,,Сом європейський,,,,,
2019,,,,Сом європейський,,,,,
2020,,,,Сом європейський,,,,,
2021,,,,Сом європейський,,,,,
2022,,,,Сом європейський,,,,,
2023,,,,Сом європейський,,,,,
2024,,,,Сом європейський,,,,,39.85
2015,,,,Судак звичайний,,,,,
2016,,,,Судак звичайний,,,,,
2017,,,,Судак звичайний,,,,,
2018,,,,Судак звичайний,,,,,
2019,,,,Судак звичайний,,,,,
2020,,,,Судак звичайний,,,,,
2021,,,,Судак звичайний,,,,,
2022,,,,Судак звичайний,,,,,
2023,,,,Судак звичайний,,,,,
2024,,,,Судак звичайний,,,,,52.16
2015,,,,Тараня (плітка звичайна),,,,,
2016,,,,Тараня (плітка звичайна),,,,,
2017,,,,Тараня (плітка звичайна),,,,,
2018,,,,Тараня (плітка звичайна),,,,,
2019,,,,Тараня (плітка звичайна),,,,,
2020,,,,Тараня (плітка звичайна),,,,,
2021,,,,Тараня (плітка звичайна),,,,,
2022,,,,Тараня (плітка звичайна),,,,,
2023,,,,Тараня (плітка звичайна),,,,,
2024,,,,Тараня (плітка звичайна),,,,,60.05
2015,,,,Щука звичайна,,,,,
2016,,,,Щука звичайна,,,,,
2017,,,,Щука звичайна,,,,,
2018,,,,Щука звичайна,,,,,
2019,,,,Щука звичайна,,,,,
2020,,,,Щука звичайна,,,,,
2021,,,,Щука звичайна,,,,,
2022,,,,Щука звичайна,,,,,
2023,,,,Щука звичайна,,,,,
2024,,,,Щука звичайна,,,,,16.04
2015,,,,,Камбала-глоса,,,,
2016,,,,,Камбала-глоса,,,,
2017,,,,,Камбала-глоса,,,,
2018,,,,,Камбала-глоса,,,,
2019,,,,,Камбала-глоса,,,,
2020,,,,,Камбала-глоса,,,,
2021,,,,,Камбала-глоса,,,,
2022,,,,,Камбала-глоса,,,,
2023,,,,,Камбала-глоса,,,,
2024,,,,,Камбала-глоса,,,,
2015,,,,,,Камбала-глоса,,,
2016,,,,,,Камбала-глоса,,,
2017,,,,,,Камбала-глоса,,,
2018,,,,,,Камбала-глоса,,,
2019,,,,,,Камбала-глоса,,,
2020,,,,,,Камбала-глоса,,,
2021,,,,,,Камбала-глоса,,,
2022,,,,,,Камбала-глоса,,,
2023,,,,,,Камбала-глоса,,,
2024,,,,,,Камбала-глоса,,,
2015,,,,,,,Атерина піщана,,
2016,,,,,,,Атерина піщана,,
2017,,,,,,,Атерина піщана,,
2018,,,,,,,Атерина піщана,,
2019,,,,,,,Атерина піщана,,
2020,,,,,,,Атерина піщана,,
2021,,,,,,,Атерина піщана,,
2022,,,,,,,Атерина піщана,,
2023,,,,,,,Атерина піщана,,
2024,,,,,,,Атерина піщана,,15.69
2015,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2016,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2017,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2018,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2019,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2020,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2021,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2022,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2023,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,
2024,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",,12.67
2015,,,,,,,Глось,,
2016,,,,,,,Глось,,
2017,,,,,,,Глось,,
2018,,,,,,,Глось,,
2019,,,,,,,Глось,,
2020,,,,,,,Глось,,
2021,,,,,,,Глось,,
2022,,,,,,,Глось,,
2023,,,,,,,Глось,,
2024,,,,,,,Глось,,2.11
2015,,,,,,,Гостроніс,,
2016,,,,,,,Гостроніс,,
2017,,,,,,,Гостроніс,,
2018,,,,,,,Гостроніс,,
2019,,,,,,,Гостроніс,,
2020,,,,,,,Гостроніс,,
2021,,,,,,,Гостроніс,,
2022,,,,,,,Гостроніс,,
2023,,,,,,,Гостроніс,,
2024,,,,,,,Гостроніс,,6.87
2015,,,,,,,Креветка,,
2016,,,,,,,Креветка,,
2017,,,,,,,Креветка,,
2018,,,,,,,Креветка,,
2019,,,,,,,Креветка,,
2020,,,,,,,Креветка,,
2021,,,,,,,Креветка,,
2022,,,,,,,Креветка,,
2023,,,,,,,Креветка,,
2024,,,,,,,Креветка,,1.18
2015,,,,,,,Лобань,,
2016,,,,,,,Лобань,,
2017,,,,,,,Лобань,,
2018,,,,,,,Лобань,,
2019,,,,,,,Лобань,,
2020,,,,,,,Лобань,,
2021,,,,,,,Лобань,,
2022,,,,,,,Лобань,,
2023,,,,,,,Лобань,,
2024,,,,,,,Лобань,,1.99
2015,,,,,,,Піленгас,,
2016,,,,,,,Піленгас,,
2017,,,,,,,Піленгас,,
2018,,,,,,,Піленгас,,
2019,,,,,,,Піленгас,,
2020,,,,,,,Піленгас,,
2021,,,,,,,Піленгас,,
2022,,,,,,,Піленгас,,
2023,,,,,,,Піленгас,,
2024,,,,,,,Піленгас,,1.52
2015,,,,,,,Сингіль,,
2016,,,,,,,Сингіль,,
2017,,,,,,,Сингіль,,
2018,,,,,,,Сингіль,,
2019,,,,,,,Сингіль,,
2020,,,,,,,Сингіль,,
2021,,,,,,,Сингіль,,
2022,,,,,,,Сингіль,,
2023,,,,,,,Сингіль,,
2024,,,,,,,Сингіль,,5.75
2015,,,,,,,Судак звичайний,,
2016,,,,,,,Судак звичайний,,
2017,,,,,,,Судак звичайний,,
2018,,,,,,,Судак звичайний,,
2019,,,,,,,Судак звичайний,,
2020,,,,,,,Судак звичайний,,
2021,,,,,,,Судак звичайний,,
2022,,,,,,,Судак звичайний,,
2023,,,,,,,Судак звичайний,,
2024,,,,,,,Судак звичайний,,0.69
2015,,,,,,,,Атерина піщана,
2016,,,,,,,,Атерина піщана,
2017,,,,,,,,Атерина піщана,
2018,,,,,,,,Атерина піщана,
2019,,,,,,,,Атерина піщана,
2020,,,,,,,,Атерина піщана,
2021,,,,,,,,Атерина піщана,
2022,,,,,,,,Атерина піщана,
2023,,,,,,,,Атерина піщана,
2024,,,,,,,,Атерина піщана,15.54
2015,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2016,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2017,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2018,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2019,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2020,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2021,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2022,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2023,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",
2024,,,,,,,,"Бички (крім видів, занесених до Червоної книги України)",18.97
2015,,,,,,,,Глось,
2016,,,,,,,,Глось,
2017,,,,,,,,Глось,
2018,,,,,,,,Глось,
2019,,,,,,,,Глось,
2020,,,,,,,,Глось,
2021,,,,,,,,Глось,
2022,,,,,,,,Глось,
2023,,,,,,,,Глось,
2024,,,,,,,,Глось,20.21
2015,,,,,,,,Гостроніс,
2016,,,,,,,,Гостроніс,
2017,,,,,,,,Гостроніс,
2018,,,,,,,,Гостроніс,
2019,,,,,,,,Гостроніс,
2020,,,,,,,,Гостроніс,
2021,,,,,,,,Гостроніс,
2022,,,,,,,,Гостроніс,
2023,,,,,,,,Гостроніс,
2024,,,,,,,,Гостроніс,9.84
2015,,,,,,,,Креветка,
2016,,,,,,,,Креветка,
2017,,,,,,,,Креветка,
2018,,,,,,,,Креветка,
2019,,,,,,,,Креветка,
2020,,,,,,,,Креветка,
2021,,,,,,,,Креветка,
2022,,,,,,,,Креветка,
2023,,,,,,,,Креветка,
2024,,,,,,,,Креветка,1.26
2015,,,,,,,,Лобань,
2016,,,,,,,,Лобань,
2017,,,,,,,,Лобань,
2018,,,,,,,,Лобань,
2019,,,,,,,,Лобань,
2020,,,,,,,,Лобань,
2021,,,,,,,,Лобань,
2022,,,,,,,,Лобань,
2023,,,,,,,,Лобань,
2024,,,,,,,,Лобань,0.44
2015,,,,,,,,Піленгас,
2016,,,,,,,,Піленгас,
2017,,,,,,,,Піленгас,
2018,,,,,,,,Піленгас,
2019,,,,,,,,Піленгас,
2020,,,,,,,,Піленгас,
2021,,,,,,,,Піленгас,
2022,,,,,,,,Піленгас,
2023,,,,,,,,Піленгас,
2024,,,,,,,,Піленгас,3.64
2015,,,,,,,,Сингіль,
2016,,,,,,,,Сингіль,
2017,,,,,,,,Сингіль,
2018,,,,,,,,Сингіль,
2019,,,,,,,,Сингіль,
2020,,,,,,,,Сингіль,
2021,,,,,,,,Сингіль,
2022,,,,,,,,Сингіль,
2023,,,,,,,,Сингіль,
2024,,,,,,,,Сингіль,5.41
