Year,Інфекційні захворювання,Вік,Область,Value
2017,Кашлюк,18 місяців,Чернігівська,60.4
2017,"Дифтерія, правець",6 років,Чернігівська,85.7
2017,"Дифтерія, правець",дорослі,Чернігівська,45.7
2017,"Кір, паротит, краснуха",1 рік,Чернігівська,97.8
2017,"Кір, паротит, краснуха",6 років,Чернігівська,95.1
2017,Гепатит В,до 1 року,Чернігівська,82.8
2018,Туберкульоз,до 1 року,Вінницька,91.6
2018,Поліомієліт,до 1 року,Вінницька,76.2
2018,Поліомієліт,18 місяців,Вінницька,67.8
2018,Поліомієліт,6 років,Вінницька,79.4
2018,Поліомієліт,14 років,Вінницька,78.9
2018,"Дифтерія, правець",до 1 року,Вінницька,73.2
2018,Кашлюк,до 1 року,Вінницька,73.2
2018,"Дифтерія, правець",18 місяців,Вінницька,66.3
2018,Кашлюк,18 місяців,Вінницька,66.3
2018,"Дифтерія, правець",6 років,Вінницька,79.9
2018,"Дифтерія, правець",дорослі,Вінницька,58.9
2018,"Кір, паротит, краснуха",1 рік,Вінницька,92.5
2018,"Кір, паротит, краснуха",6 років,Вінницька,90.2
2018,Гепатит В,до 1 року,Вінницька,66.9
2018,Туберкульоз,до 1 року,Волинська,93.4
2018,Поліомієліт,до 1 року,Волинська,44.8
2018,Поліомієліт,18 місяців,Волинська,47.6
2018,Поліомієліт,6 років,Волинська,68.4
2018,Поліомієліт,14 років,Волинська,71.3
2018,"Дифтерія, правець",до 1 року,Волинська,54.6
2018,Кашлюк,до 1 року,Волинська,54.6
2018,"Дифтерія, правець",18 місяців,Волинська,53.6
2018,Кашлюк,18 місяців,Волинська,53.6
2018,"Дифтерія, правець",6 років,Волинська,79.1
2018,"Дифтерія, правець",дорослі,Волинська,42.2
2018,"Кір, паротит, краснуха",1 рік,Волинська,97.0
2018,"Кір, паротит, краснуха",6 років,Волинська,95.5
2018,Гепатит В,до 1 року,Волинська,40.2
2018,Туберкульоз,до 1 року,Дніпропетровська,93.3
2018,Поліомієліт,до 1 року,Дніпропетровська,46.7
2018,Поліомієліт,18 місяців,Дніпропетровська,36.8
2018,Поліомієліт,6 років,Дніпропетровська,46.5
2018,Поліомієліт,14 років,Дніпропетровська,41.2
2018,"Дифтерія, правець",до 1 року,Дніпропетровська,47.4
2018,Кашлюк,до 1 року,Дніпропетровська,47.4
2018,"Дифтерія, правець",18 місяців,Дніпропетровська,41.9
2018,Кашлюк,18 місяців,Дніпропетровська,41.9
2018,"Дифтерія, правець",6 років,Дніпропетровська,99.5
2018,"Дифтерія, правець",дорослі,Дніпропетровська,60.5
2018,"Кір, паротит, краснуха",1 рік,Дніпропетровська,94.6
2018,"Кір, паротит, краснуха",6 років,Дніпропетровська,95.7
2018,Гепатит В,до 1 року,Дніпропетровська,75.7
2018,Туберкульоз,до 1 року,Донецька,69.7
2018,Поліомієліт,до 1 року,Донецька,51.3
2018,Поліомієліт,18 місяців,Донецька,71.6
2018,Поліомієліт,6 років,Донецька,82.3
2018,Поліомієліт,14 років,Донецька,77.1
2018,"Дифтерія, правець",до 1 року,Донецька,52.7
2018,Кашлюк,до 1 року,Донецька,52.7
2018,"Дифтерія, правець",18 місяців,Донецька,75.6
2018,Кашлюк,18 місяців,Донецька,75.6
2018,"Дифтерія, правець",6 років,Донецька,84.9
2018,"Дифтерія, правець",дорослі,Донецька,51.9
2018,"Кір, паротит, краснуха",1 рік,Донецька,94.1
2018,"Кір, паротит, краснуха",6 років,Донецька,93.8
2018,Гепатит В,до 1 року,Донецька,47.9
2018,Туберкульоз,до 1 року,Житомирська,99.7
2018,Поліомієліт,до 1 року,Житомирська,68.2
2018,Поліомієліт,18 місяців,Житомирська,68.0
2018,Поліомієліт,6 років,Житомирська,78.0
2018,Поліомієліт,14 років,Житомирська,76.3
2018,"Дифтерія, правець",до 1 року,Житомирська,75.3
2018,Кашлюк,до 1 року,Житомирська,75.3
2018,"Дифтерія, правець",18 місяців,Житомирська,73.7
2018,Кашлюк,18 місяців,Житомирська,73.7
2018,"Дифтерія, правець",6 років,Житомирська,91.3
2018,"Дифтерія, правець",дорослі,Житомирська,55.5
2018,"Кір, паротит, краснуха",1 рік,Житомирська,94.4
2018,"Кір, паротит, краснуха",6 років,Житомирська,91.5
2018,Гепатит В,до 1 року,Житомирська,68.4
2018,Туберкульоз,до 1 року,Закарпатська,93.6
2018,Поліомієліт,до 1 року,Закарпатська,69.6
2018,Поліомієліт,18 місяців,Закарпатська,62.9
2018,Поліомієліт,6 років,Закарпатська,84.4
2018,Поліомієліт,14 років,Закарпатська,79.6
2018,"Дифтерія, правець",до 1 року,Закарпатська,59.5
2018,Кашлюк,до 1 року,Закарпатська,59.5
2018,"Дифтерія, правець",18 місяців,Закарпатська,60.6
2018,Кашлюк,18 місяців,Закарпатська,60.6
2018,"Дифтерія, правець",6 років,Закарпатська,69.6
2018,"Дифтерія, правець",дорослі,Закарпатська,67.4
2018,"Кір, паротит, краснуха",1 рік,Закарпатська,84.8
2018,"Кір, паротит, краснуха",6 років,Закарпатська,86.9
2018,Гепатит В,до 1 року,Закарпатська,36.7
2018,Туберкульоз,до 1 року,Запорізька,93.5
2018,Поліомієліт,до 1 року,Запорізька,76.0
2018,Поліомієліт,18 місяців,Запорізька,83.3
2018,Поліомієліт,6 років,Запорізька,85.0
2018,Поліомієліт,14 років,Запорізька,82.7
2018,"Дифтерія, правець",до 1 року,Запорізька,75.2
2018,Кашлюк,до 1 року,Запорізька,75.2
2018,"Дифтерія, правець",18 місяців,Запорізька,84.0
2018,Кашлюк,18 місяців,Запорізька,84.0
2018,"Дифтерія, правець",6 років,Запорізька,74.8
2018,"Дифтерія, правець",дорослі,Запорізька,71.8
2018,"Кір, паротит, краснуха",1 рік,Запорізька,92.3
2018,"Кір, паротит, краснуха",6 років,Запорізька,83.3
2018,Гепатит В,до 1 року,Запорізька,72.0
2018,Туберкульоз,до 1 року,Івано-Франківська,88.3
2018,Поліомієліт,до 1 року,Івано-Франківська,48.9
2018,Поліомієліт,18 місяців,Івано-Франківська,55.8
2018,Поліомієліт,6 років,Івано-Франківська,68.8
2018,Поліомієліт,14 років,Івано-Франківська,72.8
2018,"Дифтерія, правець",до 1 року,Івано-Франківська,45.1
2018,Кашлюк,до 1 року,Івано-Франківська,45.1
2018,"Дифтерія, правець",18 місяців,Івано-Франківська,41.2
2018,Кашлюк,18 місяців,Івано-Франківська,41.2
2018,"Дифтерія, правець",6 років,Івано-Франківська,78.4
2018,"Дифтерія, правець",дорослі,Івано-Франківська,31.0
2018,"Кір, паротит, краснуха",1 рік,Івано-Франківська,78.9
2018,"Кір, паротит, краснуха",6 років,Івано-Франківська,69.6
2018,Гепатит В,до 1 року,Івано-Франківська,58.7
2018,Туберкульоз,до 1 року,Кіровоградська,95.0
2018,Поліомієліт,до 1 року,Кіровоградська,87.9
2018,Поліомієліт,18 місяців,Кіровоградська,77.9
2018,Поліомієліт,6 років,Кіровоградська,85.8
2018,Поліомієліт,14 років,Кіровоградська,82.9
2018,"Дифтерія, правець",до 1 року,Кіровоградська,99.5
2018,Кашлюк,до 1 року,Кіровоградська,99.5
2018,"Дифтерія, правець",18 місяців,Кіровоградська,89.9
2018,Кашлюк,18 місяців,Кіровоградська,89.9
2018,"Дифтерія, правець",6 років,Кіровоградська,89.6
2018,"Дифтерія, правець",дорослі,Кіровоградська,99.4
2018,"Кір, паротит, краснуха",1 рік,Кіровоградська,99.9
2018,"Кір, паротит, краснуха",6 років,Кіровоградська,98.6
2018,Гепатит В,до 1 року,Кіровоградська,88.9
2018,Туберкульоз,до 1 року,Луганська,60.5
2018,Поліомієліт,до 1 року,Луганська,47.6
2018,Поліомієліт,18 місяців,Луганська,84.0
2018,Поліомієліт,6 років,Луганська,86.5
2018,Поліомієліт,14 років,Луганська,84.3
2018,"Дифтерія, правець",до 1 року,Луганська,52.4
2018,Кашлюк,до 1 року,Луганська,52.4
2018,"Дифтерія, правець",18 місяців,Луганська,80.7
2018,Кашлюк,18 місяців,Луганська,80.7
2018,"Дифтерія, правець",6 років,Луганська,90.1
2018,"Дифтерія, правець",дорослі,Луганська,65.3
2018,"Кір, паротит, краснуха",1 рік,Луганська,96.4
2018,"Кір, паротит, краснуха",6 років,Луганська,90.9
2018,Гепатит В,до 1 року,Луганська,62.1
2018,Туберкульоз,до 1 року,Львівська,90.6
2018,Поліомієліт,до 1 року,Львівська,67.7
2018,Поліомієліт,18 місяців,Львівська,57.5
2018,Поліомієліт,6 років,Львівська,73.8
2018,Поліомієліт,14 років,Львівська,73.3
2018,"Дифтерія, правець",до 1 року,Львівська,70.9
2018,Кашлюк,до 1 року,Львівська,70.9
2018,"Дифтерія, правець",18 місяців,Львівська,60.1
2018,Кашлюк,18 місяців,Львівська,60.1
2018,"Дифтерія, правець",6 років,Львівська,75.1
2018,"Дифтерія, правець",дорослі,Львівська,59.5
2018,"Кір, паротит, краснуха",1 рік,Львівська,89.9
2018,"Кір, паротит, краснуха",6 років,Львівська,83.2
2018,Гепатит В,до 1 року,Львівська,63.2
2018,Туберкульоз,до 1 року,Миколаївська,95.5
2018,Поліомієліт,до 1 року,Миколаївська,89.3
2018,Поліомієліт,18 місяців,Миколаївська,83.2
2018,Поліомієліт,6 років,Миколаївська,85.1
2018,Поліомієліт,14 років,Миколаївська,81.5
2018,"Дифтерія, правець",до 1 року,Миколаївська,93.7
2018,Кашлюк,до 1 року,Миколаївська,93.7
2018,"Дифтерія, правець",18 місяців,Миколаївська,89.9
2018,Кашлюк,18 місяців,Миколаївська,89.9
2018,"Дифтерія, правець",6 років,Миколаївська,90.7
2018,"Дифтерія, правець",дорослі,Миколаївська,57.1
2018,"Кір, паротит, краснуха",1 рік,Миколаївська,99.2
2018,"Кір, паротит, краснуха",6 років,Миколаївська,91.3
2018,Гепатит В,до 1 року,Миколаївська,86.3
2018,Туберкульоз,до 1 року,Одеська,89.7
2018,Поліомієліт,до 1 року,Одеська,59.8
2018,Поліомієліт,18 місяців,Одеська,62.5
2018,Поліомієліт,6 років,Одеська,84.0
2018,Поліомієліт,14 років,Одеська,87.0
2018,"Дифтерія, правець",до 1 року,Одеська,55.3
2018,Кашлюк,до 1 року,Одеська,55.3
2018,"Дифтерія, правець",18 місяців,Одеська,53.0
2018,Кашлюк,18 місяців,Одеська,53.0
2018,"Дифтерія, правець",6 років,Одеська,66.5
2018,"Дифтерія, правець",дорослі,Одеська,33.7
2018,"Кір, паротит, краснуха",1 рік,Одеська,84.8
2018,"Кір, паротит, краснуха",6 років,Одеська,85.6
2018,Гепатит В,до 1 року,Одеська,45.0
2018,Туберкульоз,до 1 року,Полтавська,94.2
2018,Поліомієліт,до 1 року,Полтавська,93.1
2018,Поліомієліт,18 місяців,Полтавська,96.5
2018,Поліомієліт,6 років,Полтавська,97.2
2018,Поліомієліт,14 років,Полтавська,96.1
2018,"Дифтерія, правець",до 1 року,Полтавська,86.4
2018,Кашлюк,до 1 року,Полтавська,86.4
2018,"Дифтерія, правець",18 місяців,Полтавська,90.5
2018,Кашлюк,18 місяців,Полтавська,90.5
2018,"Дифтерія, правець",6 років,Полтавська,88.4
2018,"Дифтерія, правець",дорослі,Полтавська,66.1
2018,"Кір, паротит, краснуха",1 рік,Полтавська,94.7
2018,"Кір, паротит, краснуха",6 років,Полтавська,96.0
2018,Гепатит В,до 1 року,Полтавська,90.0
2018,Туберкульоз,до 1 року,Рівненська,92.6
2018,Поліомієліт,до 1 року,Рівненська,57.1
2018,Поліомієліт,18 місяців,Рівненська,49.2
2018,Поліомієліт,6 років,Рівненська,77.6
2018,Поліомієліт,14 років,Рівненська,85.4
2018,"Дифтерія, правець",до 1 року,Рівненська,66.0
2018,Кашлюк,до 1 року,Рівненська,66.0
2018,"Дифтерія, правець",18 місяців,Рівненська,55.3
2018,Кашлюк,18 місяців,Рівненська,55.3
2018,"Дифтерія, правець",6 років,Рівненська,81.4
2018,"Дифтерія, правець",дорослі,Рівненська,57.8
2018,"Кір, паротит, краснуха",1 рік,Рівненська,84.8
2018,"Кір, паротит, краснуха",6 років,Рівненська,93.0
2018,Гепатит В,до 1 року,Рівненська,57.9
2018,Туберкульоз,до 1 року,Сумська,97.2
2018,Поліомієліт,до 1 року,Сумська,88.6
2018,Поліомієліт,18 місяців,Сумська,85.4
2018,Поліомієліт,6 років,Сумська,93.3
2018,Поліомієліт,14 років,Сумська,94.3
2018,"Дифтерія, правець",до 1 року,Сумська,88.1
2018,Кашлюк,до 1 року,Сумська,88.1
2018,"Дифтерія, правець",18 місяців,Сумська,74.1
2018,Кашлюк,18 місяців,Сумська,74.1
2018,"Дифтерія, правець",6 років,Сумська,86.6
2018,"Дифтерія, правець",дорослі,Сумська,79.9
2018,"Кір, паротит, краснуха",1 рік,Сумська,97.2
2018,"Кір, паротит, краснуха",6 років,Сумська,94.1
2018,Гепатит В,до 1 року,Сумська,89.2
2018,Туберкульоз,до 1 року,Тернопільська,86.9
2018,Поліомієліт,до 1 року,Тернопільська,65.4
2018,Поліомієліт,18 місяців,Тернопільська,59.5
2018,Поліомієліт,6 років,Тернопільська,86.2
2018,Поліомієліт,14 років,Тернопільська,88.4
2018,"Дифтерія, правець",до 1 року,Тернопільська,57.8
2018,Кашлюк,до 1 року,Тернопільська,57.8
2018,"Дифтерія, правець",18 місяців,Тернопільська,49.6
2018,Кашлюк,18 місяців,Тернопільська,49.6
2018,"Дифтерія, правець",6 років,Тернопільська,77.8
2018,"Дифтерія, правець",дорослі,Тернопільська,59.4
2018,"Кір, паротит, краснуха",1 рік,Тернопільська,94.5
2018,"Кір, паротит, краснуха",6 років,Тернопільська,93.6
2018,Гепатит В,до 1 року,Тернопільська,54.6
2018,Туберкульоз,до 1 року,Харківська,87.5
2018,Поліомієліт,до 1 року,Харківська,66.4
2018,Поліомієліт,18 місяців,Харківська,40.2
2018,Поліомієліт,6 років,Харківська,86.3
2018,Поліомієліт,14 років,Харківська,86.1
2018,"Дифтерія, правець",до 1 року,Харківська,54.0
2018,Кашлюк,до 1 року,Харківська,54.0
2018,"Дифтерія, правець",18 місяців,Харківська,37.5
2018,Кашлюк,18 місяців,Харківська,37.5
2018,"Дифтерія, правець",6 років,Харківська,81.8
2018,"Дифтерія, правець",дорослі,Харківська,36.2
2018,"Кір, паротит, краснуха",1 рік,Харківська,80.8
2018,"Кір, паротит, краснуха",6 років,Харківська,82.2
2018,Гепатит В,до 1 року,Харківська,63.5
2018,Туберкульоз,до 1 року,Херсонська,86.8
2018,Поліомієліт,до 1 року,Херсонська,69.9
2018,Поліомієліт,18 місяців,Херсонська,49.7
2018,Поліомієліт,6 років,Херсонська,87.7
2018,Поліомієліт,14 років,Херсонська,83.2
2018,"Дифтерія, правець",до 1 року,Херсонська,77.4
2018,Кашлюк,до 1 року,Херсонська,77.4
2018,"Дифтерія, правець",18 місяців,Херсонська,71.7
2018,Кашлюк,18 місяців,Херсонська,71.7
2018,"Дифтерія, правець",6 років,Херсонська,86.9
2018,"Дифтерія, правець",дорослі,Херсонська,58.9
2018,"Кір, паротит, краснуха",1 рік,Херсонська,91.2
2018,"Кір, паротит, краснуха",6 років,Херсонська,97.1
2018,Гепатит В,до 1 року,Херсонська,76.1
2018,Туберкульоз,до 1 року,Хмельницька,99.5
2018,Поліомієліт,до 1 року,Хмельницька,93.1
2018,Поліомієліт,18 місяців,Хмельницька,87.4
2018,Поліомієліт,6 років,Хмельницька,90.8
2018,Поліомієліт,14 років,Хмельницька,90.7
2018,"Дифтерія, правець",до 1 року,Хмельницька,85.2
2018,Кашлюк,до 1 року,Хмельницька,85.2
2018,"Дифтерія, правець",18 місяців,Хмельницька,78.2
2018,Кашлюк,18 місяців,Хмельницька,78.2
2018,"Дифтерія, правець",6 років,Хмельницька,89.7
2018,"Дифтерія, правець",дорослі,Хмельницька,52.0
2018,"Кір, паротит, краснуха",1 рік,Хмельницька,92.6
2018,"Кір, паротит, краснуха",6 років,Хмельницька,93.4
2018,Гепатит В,до 1 року,Хмельницька,65.5
2018,Туберкульоз,до 1 року,Черкаська,92.6
2018,Поліомієліт,до 1 року,Черкаська,87.5
2018,Поліомієліт,18 місяців,Черкаська,82.7
2018,Поліомієліт,6 років,Черкаська,92.6
2018,Поліомієліт,14 років,Черкаська,92.0
2018,"Дифтерія, правець",до 1 року,Черкаська,84.1
2018,Кашлюк,до 1 року,Черкаська,84.1
2018,"Дифтерія, правець",18 місяців,Черкаська,71.8
2018,Кашлюк,18 місяців,Черкаська,71.8
2018,"Дифтерія, правець",6 років,Черкаська,86.5
2018,"Дифтерія, правець",дорослі,Черкаська,69.1
2018,"Кір, паротит, краснуха",1 рік,Черкаська,87.5
2018,"Кір, паротит, краснуха",6 років,Черкаська,95.8
2018,Гепатит В,до 1 року,Черкаська,79.8
2018,Туберкульоз,до 1 року,Чернівецька,95.3
2018,Поліомієліт,до 1 року,Чернівецька,86.2
2018,Поліомієліт,18 місяців,Чернівецька,88.8
2018,Поліомієліт,6 років,Чернівецька,91.0
2018,Поліомієліт,14 років,Чернівецька,93.7
2018,"Дифтерія, правець",до 1 року,Чернівецька,76.1
2018,Кашлюк,до 1 року,Чернівецька,76.1
2018,"Дифтерія, правець",18 місяців,Чернівецька,77.2
2018,Кашлюк,18 місяців,Чернівецька,77.2
2018,"Дифтерія, правець",6 років,Чернівецька,92.0
2018,"Дифтерія, правець",дорослі,Чернівецька,78.5
2018,"Кір, паротит, краснуха",1 рік,Чернівецька,93.5
2018,"Кір, паротит, краснуха",6 років,Чернівецька,88.1
2018,Гепатит В,до 1 року,Чернівецька,59.7
2018,Туберкульоз,до 1 року,Чернігівська,96.1
2018,Поліомієліт,до 1 року,Чернігівська,87.4
2018,Поліомієліт,18 місяців,Чернігівська,76.1
2018,Поліомієліт,6 років,Чернігівська,86.2
2018,Поліомієліт,14 років,Чернігівська,85.9
2018,"Дифтерія, правець",до 1 року,Чернігівська,89.9
2018,Кашлюк,до 1 року,Чернігівська,89.9
2018,"Дифтерія, правець",18 місяців,Чернігівська,83.6
2018,Кашлюк,18 місяців,Чернігівська,83.6
2018,"Дифтерія, правець",6 років,Чернігівська,93.0
2018,"Дифтерія, правець",дорослі,Чернігівська,90.3
2018,"Кір, паротит, краснуха",1 рік,Чернігівська,93.9
2018,"Кір, паротит, краснуха",6 років,Чернігівська,88.9
2018,Гепатит В,до 1 року,Чернігівська,86.3
2019,Туберкульоз,до 1 року,Вінницька,76.3
2019,Поліомієліт,до 1 року,Вінницька,79.1
2019,Поліомієліт,18 місяців,Вінницька,86.0
2019,Поліомієліт,6 років,Вінницька,76.5
2019,Поліомієліт,14 років,Вінницька,79.9
2019,"Дифтерія, правець",до 1 року,Вінницька,87.1
2019,Кашлюк,до 1 року,Вінницька,87.1
2019,"Дифтерія, правець",18 місяців,Вінницька,93.2
2019,Кашлюк,18 місяців,Вінницька,93.2
2019,"Дифтерія, правець",6 років,Вінницька,61.7
2019,"Дифтерія, правець",дорослі,Вінницька,93.7
2019,"Кір, паротит, краснуха",1 рік,Вінницька,93.6
2019,"Кір, паротит, краснуха",6 років,Вінницька,84.5
2019,Гепатит В,до 1 року,Вінницька,80.8
2019,Туберкульоз,до 1 року,Волинська,91.3
2019,Поліомієліт,до 1 року,Волинська,74.4
2019,Поліомієліт,18 місяців,Волинська,71.9
2019,Поліомієліт,6 років,Волинська,76.6
2019,Поліомієліт,14 років,Волинська,76.7
2019,"Дифтерія, правець",до 1 року,Волинська,76.5
2019,Кашлюк,до 1 року,Волинська,76.5
2019,"Дифтерія, правець",18 місяців,Волинська,83.0
2019,Кашлюк,18 місяців,Волинська,83.0
2019,"Дифтерія, правець",6 років,Волинська,70.8
2019,"Дифтерія, правець",дорослі,Волинська,91.1
2019,"Кір, паротит, краснуха",1 рік,Волинська,96.7
2019,"Кір, паротит, краснуха",6 років,Волинська,96.1
2019,Гепатит В,до 1 року,Волинська,80.0
2019,Туберкульоз,до 1 року,Дніпропетровська,87.8
2019,Поліомієліт,до 1 року,Дніпропетровська,62.7
2019,Поліомієліт,18 місяців,Дніпропетровська,57.6
2019,Поліомієліт,6 років,Дніпропетровська,57.6
2019,Поліомієліт,14 років,Дніпропетровська,50.7
2019,"Дифтерія, правець",до 1 року,Дніпропетровська,75.0
2019,Кашлюк,до 1 року,Дніпропетровська,75.0
2019,"Дифтерія, правець",18 місяців,Дніпропетровська,73.3
2019,Кашлюк,18 місяців,Дніпропетровська,73.3
2019,"Дифтерія, правець",6 років,Дніпропетровська,49.0
2019,"Дифтерія, правець",дорослі,Дніпропетровська,83.7
2019,"Кір, паротит, краснуха",1 рік,Дніпропетровська,99.9
2019,"Кір, паротит, краснуха",6 років,Дніпропетровська,99.9
2019,Гепатит В,до 1 року,Дніпропетровська,93.5
2019,Туберкульоз,до 1 року,Донецька,83.6
2019,Поліомієліт,до 1 року,Донецька,77.6
2019,Поліомієліт,18 місяців,Донецька,77.4
2019,Поліомієліт,6 років,Донецька,88.2
2019,Поліомієліт,14 років,Донецька,93.7
2019,"Дифтерія, правець",до 1 року,Донецька,70.5
2019,Кашлюк,до 1 року,Донецька,70.5
2019,"Дифтерія, правець",18 місяців,Донецька,71.8
2019,Кашлюк,18 місяців,Донецька,71.8
2019,"Дифтерія, правець",6 років,Донецька,67.9
2019,"Дифтерія, правець",дорослі,Донецька,80.5
2019,"Кір, паротит, краснуха",1 рік,Донецька,85.5
2019,"Кір, паротит, краснуха",6 років,Донецька,86.3
2019,Гепатит В,до 1 року,Донецька,72.7
2019,Туберкульоз,до 1 року,Житомирська,93.6
2019,Поліомієліт,до 1 року,Житомирська,75.2
2019,Поліомієліт,18 місяців,Житомирська,74.4
2019,Поліомієліт,6 років,Житомирська,82.0
2019,Поліомієліт,14 років,Житомирська,74.3
2019,"Дифтерія, правець",до 1 року,Житомирська,84.2
2019,Кашлюк,до 1 року,Житомирська,84.2
2019,"Дифтерія, правець",18 місяців,Житомирська,88.2
2019,Кашлюк,18 місяців,Житомирська,88.2
2019,"Дифтерія, правець",6 років,Житомирська,87.2
2019,"Дифтерія, правець",дорослі,Житомирська,72.4
2019,"Кір, паротит, краснуха",1 рік,Житомирська,94.1
2019,"Кір, паротит, краснуха",6 років,Житомирська,97.1
2019,Гепатит В,до 1 року,Житомирська,80.2
2019,Туберкульоз,до 1 року,Закарпатська,90.5
2019,Поліомієліт,до 1 року,Закарпатська,71.4
2019,Поліомієліт,18 місяців,Закарпатська,74.0
2019,Поліомієліт,6 років,Закарпатська,76.7
2019,Поліомієліт,14 років,Закарпатська,77.5
2019,"Дифтерія, правець",до 1 року,Закарпатська,65.4
2019,Кашлюк,до 1 року,Закарпатська,65.4
2019,"Дифтерія, правець",18 місяців,Закарпатська,71.5
2019,Кашлюк,18 місяців,Закарпатська,71.5
2019,"Дифтерія, правець",6 років,Закарпатська,55.1
2019,"Дифтерія, правець",дорослі,Закарпатська,96.4
2019,"Кір, паротит, краснуха",1 рік,Закарпатська,90.5
2019,"Кір, паротит, краснуха",6 років,Закарпатська,91.7
2019,Гепатит В,до 1 року,Закарпатська,54.6
2019,Туберкульоз,до 1 року,Запорізька,85.3
2019,Поліомієліт,до 1 року,Запорізька,83.0
2019,Поліомієліт,18 місяців,Запорізька,79.1
2019,Поліомієліт,6 років,Запорізька,84.6
2019,Поліомієліт,14 років,Запорізька,83.8
2019,"Дифтерія, правець",до 1 року,Запорізька,80.2
2019,Кашлюк,до 1 року,Запорізька,80.2
2019,"Дифтерія, правець",18 місяців,Запорізька,73.5
2019,Кашлюк,18 місяців,Запорізька,73.5
2019,"Дифтерія, правець",6 років,Запорізька,77.9
2019,"Дифтерія, правець",дорослі,Запорізька,99.9
2019,"Кір, паротит, краснуха",1 рік,Запорізька,93.6
2019,"Кір, паротит, краснуха",6 років,Запорізька,91.9
2019,Гепатит В,до 1 року,Запорізька,75.9
2019,Туберкульоз,до 1 року,Івано-Франківська,91.5
2019,Поліомієліт,до 1 року,Івано-Франківська,75.2
2019,Поліомієліт,18 місяців,Івано-Франківська,71.2
2019,Поліомієліт,6 років,Івано-Франківська,83.0
2019,Поліомієліт,14 років,Івано-Франківська,82.4
2019,"Дифтерія, правець",до 1 року,Івано-Франківська,76.1
2019,Кашлюк,до 1 року,Івано-Франківська,76.1
2019,"Дифтерія, правець",18 місяців,Івано-Франківська,70.2
2019,Кашлюк,18 місяців,Івано-Франківська,70.2
2019,"Дифтерія, правець",6 років,Івано-Франківська,90.4
2019,"Дифтерія, правець",дорослі,Івано-Франківська,80.2
2019,"Кір, паротит, краснуха",1 рік,Івано-Франківська,90.0
2019,"Кір, паротит, краснуха",6 років,Івано-Франківська,87.5
2019,Гепатит В,до 1 року,Івано-Франківська,75.2
2019,Туберкульоз,до 1 року,Кіровоградська,93.3
2019,Поліомієліт,до 1 року,Кіровоградська,87.6
2019,Поліомієліт,18 місяців,Кіровоградська,91.0
2019,Поліомієліт,6 років,Кіровоградська,86.9
2019,Поліомієліт,14 років,Кіровоградська,90.2
2019,"Дифтерія, правець",до 1 року,Кіровоградська,93.3
2019,Кашлюк,до 1 року,Кіровоградська,93.3
2019,"Дифтерія, правець",18 місяців,Кіровоградська,90.8
2019,Кашлюк,18 місяців,Кіровоградська,90.8
2019,"Дифтерія, правець",6 років,Кіровоградська,62.6
2019,"Дифтерія, правець",дорослі,Кіровоградська,92.7
2019,"Кір, паротит, краснуха",1 рік,Кіровоградська,98.2
2019,"Кір, паротит, краснуха",6 років,Кіровоградська,99.1
2019,Гепатит В,до 1 року,Кіровоградська,80.9
2019,Туберкульоз,до 1 року,Луганська,85.8
2019,Поліомієліт,до 1 року,Луганська,75.0
2019,Поліомієліт,18 місяців,Луганська,83.4
2019,Поліомієліт,6 років,Луганська,81.5
2019,Поліомієліт,14 років,Луганська,84.7
2019,"Дифтерія, правець",до 1 року,Луганська,85.7
2019,Кашлюк,до 1 року,Луганська,85.7
2019,"Дифтерія, правець",18 місяців,Луганська,80.7
2019,Кашлюк,18 місяців,Луганська,80.7
2019,"Дифтерія, правець",6 років,Луганська,81.6
2019,"Дифтерія, правець",дорослі,Луганська,30.4
2019,"Кір, паротит, краснуха",1 рік,Луганська,95.7
2019,"Кір, паротит, краснуха",6 років,Луганська,89.5
2019,Гепатит В,до 1 року,Луганська,89.6
2019,Туберкульоз,до 1 року,Львівська,88.1
2019,Поліомієліт,до 1 року,Львівська,75.4
2019,Поліомієліт,18 місяців,Львівська,70.5
2019,Поліомієліт,6 років,Львівська,68.4
2019,Поліомієліт,14 років,Львівська,71.7
2019,"Дифтерія, правець",до 1 року,Львівська,76.0
2019,Кашлюк,до 1 року,Львівська,76.0
2019,"Дифтерія, правець",18 місяців,Львівська,72.3
2019,Кашлюк,18 місяців,Львівська,72.3
2019,"Дифтерія, правець",6 років,Львівська,67.3
2019,"Дифтерія, правець",дорослі,Львівська,96.5
2019,"Кір, паротит, краснуха",1 рік,Львівська,90.0
2019,"Кір, паротит, краснуха",6 років,Львівська,81.9
2019,Гепатит В,до 1 року,Львівська,67.5
2019,Туберкульоз,до 1 року,Миколаївська,91.4
2019,Поліомієліт,до 1 року,Миколаївська,96.5
2019,Поліомієліт,18 місяців,Миколаївська,95.9
2019,Поліомієліт,6 років,Миколаївська,91.9
2019,Поліомієліт,14 років,Миколаївська,91.6
2019,"Дифтерія, правець",до 1 року,Миколаївська,100.0
2019,Кашлюк,до 1 року,Миколаївська,100.0
2019,"Дифтерія, правець",18 місяців,Миколаївська,100.0
2019,Кашлюк,18 місяців,Миколаївська,100.0
2019,"Дифтерія, правець",6 років,Миколаївська,100.0
2019,"Дифтерія, правець",дорослі,Миколаївська,93.3
2019,"Кір, паротит, краснуха",1 рік,Миколаївська,100.0
2019,"Кір, паротит, краснуха",6 років,Миколаївська,100.0
2019,Гепатит В,до 1 року,Миколаївська,90.8
