Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Кількість найманих працівників,Value
2022,"Виробництво плит, листів, труб і профілів із пластмас",,,,17.2
2023,"Виробництво плит, листів, труб і профілів із пластмас",,,,17.1
2024,"Виробництво плит, листів, труб і профілів із пластмас",,,,23.7
2015,Виробництво тари з пластмас,,,,
2016,Виробництво тари з пластмас,,,,
2017,Виробництво тари з пластмас,,,,
2018,Виробництво тари з пластмас,,,,
2019,Виробництво тари з пластмас,,,,
2020,Виробництво тари з пластмас,,,,
2021,Виробництво тари з пластмас,,,,21.4
2022,Виробництво тари з пластмас,,,,23.0
2023,Виробництво тари з пластмас,,,,24.3
2024,Виробництво тари з пластмас,,,,24.4
2015,Виробництво будівельних виробів із пластмас,,,,
2016,Виробництво будівельних виробів із пластмас,,,,
2017,Виробництво будівельних виробів із пластмас,,,,
2018,Виробництво будівельних виробів із пластмас,,,,
2019,Виробництво будівельних виробів із пластмас,,,,
2020,Виробництво будівельних виробів із пластмас,,,,
2021,Виробництво будівельних виробів із пластмас,,,,18.3
2022,Виробництво будівельних виробів із пластмас,,,,18.9
2023,Виробництво будівельних виробів із пластмас,,,,19.2
2024,Виробництво будівельних виробів із пластмас,,,,20.3
2015,Виробництво інших виробів із пластмас,,,,
2016,Виробництво інших виробів із пластмас,,,,
2017,Виробництво інших виробів із пластмас,,,,
2018,Виробництво інших виробів із пластмас,,,,
2019,Виробництво інших виробів із пластмас,,,,
2020,Виробництво інших виробів із пластмас,,,,
2021,Виробництво інших виробів із пластмас,,,,20.1
2022,Виробництво інших виробів із пластмас,,,,19.6
2023,Виробництво інших виробів із пластмас,,,,19.1
2024,Виробництво інших виробів із пластмас,,,,20.2
2015,Виробництво листового скла,,,,
2016,Виробництво листового скла,,,,
2017,Виробництво листового скла,,,,
2018,Виробництво листового скла,,,,
2019,Виробництво листового скла,,,,
2020,Виробництво листового скла,,,,
2021,Виробництво листового скла,,,,38.5
2022,Виробництво листового скла,,,,15.4
2023,Виробництво листового скла,,,,13.3
2024,Виробництво листового скла,,,,26.3
2015,Формування й оброблення листового скла,,,,
2016,Формування й оброблення листового скла,,,,
2017,Формування й оброблення листового скла,,,,
2018,Формування й оброблення листового скла,,,,
2019,Формування й оброблення листового скла,,,,
2020,Формування й оброблення листового скла,,,,
2021,Формування й оброблення листового скла,,,,18.5
2022,Формування й оброблення листового скла,,,,21.8
2023,Формування й оброблення листового скла,,,,19.0
2024,Формування й оброблення листового скла,,,,18.1
2015,Виробництво порожнистого скла,,,,
2016,Виробництво порожнистого скла,,,,
2017,Виробництво порожнистого скла,,,,
2018,Виробництво порожнистого скла,,,,
2019,Виробництво порожнистого скла,,,,
2020,Виробництво порожнистого скла,,,,
2021,Виробництво порожнистого скла,,,,7.7
2022,Виробництво порожнистого скла,,,,4.8
2023,Виробництво порожнистого скла,,,,5.6
2024,Виробництво порожнистого скла,,,,14.3
2015,Виробництво скловолокна,,,,
2016,Виробництво скловолокна,,,,
2017,Виробництво скловолокна,,,,
2018,Виробництво скловолокна,,,,
2019,Виробництво скловолокна,,,,
2020,Виробництво скловолокна,,,,
2021,Виробництво скловолокна,,,,25.0
2022,Виробництво скловолокна,,,,26.3
2023,Виробництво скловолокна,,,,26.3
2024,Виробництво скловолокна,,,,38.1
2015,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2016,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2017,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2018,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2019,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2020,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,
2021,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,16.4
2022,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,9.8
2023,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,17.0
2024,"Виробництво й оброблення інших скляних виробів, у тому числі технічних",,,,20.8
2015,Виробництво вогнетривких виробів,,,,
2016,Виробництво вогнетривких виробів,,,,
2017,Виробництво вогнетривких виробів,,,,
2018,Виробництво вогнетривких виробів,,,,
2019,Виробництво вогнетривких виробів,,,,
2020,Виробництво вогнетривких виробів,,,,
2021,Виробництво вогнетривких виробів,,,,17.3
2022,Виробництво вогнетривких виробів,,,,20.3
2023,Виробництво вогнетривких виробів,,,,16.9
2024,Виробництво вогнетривких виробів,,,,20.3
2015,Виробництво керамічних плиток і плит,,,,
2016,Виробництво керамічних плиток і плит,,,,
2017,Виробництво керамічних плиток і плит,,,,
2018,Виробництво керамічних плиток і плит,,,,
2019,Виробництво керамічних плиток і плит,,,,
2020,Виробництво керамічних плиток і плит,,,,
2021,Виробництво керамічних плиток і плит,,,,29.2
2022,Виробництво керамічних плиток і плит,,,,31.0
2023,Виробництво керамічних плиток і плит,,,,20.0
2024,Виробництво керамічних плиток і плит,,,,20.9
2015,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2016,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2017,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2018,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2019,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2020,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,
2021,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,16.4
2022,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,16.7
2023,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,17.6
2024,"Виробництво цегли, черепиці та інших будівельних виробів із випаленої глини",,,,15.8
2015,Виробництво господарських і декоративних керамічних виробів,,,,
2016,Виробництво господарських і декоративних керамічних виробів,,,,
2017,Виробництво господарських і декоративних керамічних виробів,,,,
2018,Виробництво господарських і декоративних керамічних виробів,,,,
2019,Виробництво господарських і декоративних керамічних виробів,,,,
2020,Виробництво господарських і декоративних керамічних виробів,,,,
2021,Виробництво господарських і декоративних керамічних виробів,,,,31.9
2022,Виробництво господарських і декоративних керамічних виробів,,,,27.5
2023,Виробництво господарських і декоративних керамічних виробів,,,,26.7
2024,Виробництво господарських і декоративних керамічних виробів,,,,33.3
2015,Виробництво керамічних санітарно-технічних виробів,,,,
2016,Виробництво керамічних санітарно-технічних виробів,,,,
2017,Виробництво керамічних санітарно-технічних виробів,,,,
2018,Виробництво керамічних санітарно-технічних виробів,,,,
2019,Виробництво керамічних санітарно-технічних виробів,,,,
2020,Виробництво керамічних санітарно-технічних виробів,,,,
2021,Виробництво керамічних санітарно-технічних виробів,,,,40.0
2022,Виробництво керамічних санітарно-технічних виробів,,,,33.3
2023,Виробництво керамічних санітарно-технічних виробів,,,,25.0
2024,Виробництво керамічних санітарно-технічних виробів,,,,16.7
2015,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2016,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2017,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2018,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2019,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2020,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,
2021,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,7.7
2022,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,11.1
2023,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,12.5
2024,Виробництво керамічних електроізоляторів та ізоляційної арматури,,,,16.7
2015,Виробництво інших керамічних виробів технічного призначення,,,,
2016,Виробництво інших керамічних виробів технічного призначення,,,,
2017,Виробництво інших керамічних виробів технічного призначення,,,,
2018,Виробництво інших керамічних виробів технічного призначення,,,,
2019,Виробництво інших керамічних виробів технічного призначення,,,,
2020,Виробництво інших керамічних виробів технічного призначення,,,,
2021,Виробництво інших керамічних виробів технічного призначення,,,,7.7
2022,Виробництво інших керамічних виробів технічного призначення,,,,8.3
2023,Виробництво інших керамічних виробів технічного призначення,,,,18.2
2024,Виробництво інших керамічних виробів технічного призначення,,,,16.7
2015,Виробництво інших керамічних виробів,,,,
2016,Виробництво інших керамічних виробів,,,,
2017,Виробництво інших керамічних виробів,,,,
2018,Виробництво інших керамічних виробів,,,,
2019,Виробництво інших керамічних виробів,,,,
2020,Виробництво інших керамічних виробів,,,,
2021,Виробництво інших керамічних виробів,,,,20.0
2022,Виробництво інших керамічних виробів,,,,23.1
2023,Виробництво інших керамічних виробів,,,,13.3
2024,Виробництво інших керамічних виробів,,,,18.2
2015,Виробництво цементу,,,,
2016,Виробництво цементу,,,,
2017,Виробництво цементу,,,,
2018,Виробництво цементу,,,,
2019,Виробництво цементу,,,,
2020,Виробництво цементу,,,,
2021,Виробництво цементу,,,,21.7
2022,Виробництво цементу,,,,19.0
2023,Виробництво цементу,,,,22.7
2024,Виробництво цементу,,,,29.4
2015,Виробництво вапна та гіпсових сумішей,,,,
2016,Виробництво вапна та гіпсових сумішей,,,,
2017,Виробництво вапна та гіпсових сумішей,,,,
2018,Виробництво вапна та гіпсових сумішей,,,,
2019,Виробництво вапна та гіпсових сумішей,,,,
2020,Виробництво вапна та гіпсових сумішей,,,,
2021,Виробництво вапна та гіпсових сумішей,,,,
2022,Виробництво вапна та гіпсових сумішей,,,,
2023,Виробництво вапна та гіпсових сумішей,,,,5.3
2024,Виробництво вапна та гіпсових сумішей,,,,17.4
2015,Виготовлення виробів із бетону для будівництва,,,,
2016,Виготовлення виробів із бетону для будівництва,,,,
2017,Виготовлення виробів із бетону для будівництва,,,,
2018,Виготовлення виробів із бетону для будівництва,,,,
2019,Виготовлення виробів із бетону для будівництва,,,,
2020,Виготовлення виробів із бетону для будівництва,,,,
2021,Виготовлення виробів із бетону для будівництва,,,,15.0
2022,Виготовлення виробів із бетону для будівництва,,,,15.4
2023,Виготовлення виробів із бетону для будівництва,,,,15.3
2024,Виготовлення виробів із бетону для будівництва,,,,17.5
2015,Виготовлення виробів із гіпсу для будівництва,,,,
2016,Виготовлення виробів із гіпсу для будівництва,,,,
2017,Виготовлення виробів із гіпсу для будівництва,,,,
2018,Виготовлення виробів із гіпсу для будівництва,,,,
2019,Виготовлення виробів із гіпсу для будівництва,,,,
2020,Виготовлення виробів із гіпсу для будівництва,,,,
2021,Виготовлення виробів із гіпсу для будівництва,,,,8.0
2022,Виготовлення виробів із гіпсу для будівництва,,,,4.3
2023,Виготовлення виробів із гіпсу для будівництва,,,,8.3
2024,Виготовлення виробів із гіпсу для будівництва,,,,13.3
2015,"Виробництво бетонних розчинів, готових для використання",,,,
2016,"Виробництво бетонних розчинів, готових для використання",,,,
2017,"Виробництво бетонних розчинів, готових для використання",,,,
2018,"Виробництво бетонних розчинів, готових для використання",,,,
2019,"Виробництво бетонних розчинів, готових для використання",,,,
2020,"Виробництво бетонних розчинів, готових для використання",,,,
2021,"Виробництво бетонних розчинів, готових для використання",,,,16.4
2022,"Виробництво бетонних розчинів, готових для використання",,,,15.1
2023,"Виробництво бетонних розчинів, готових для використання",,,,16.6
2024,"Виробництво бетонних розчинів, готових для використання",,,,17.8
2015,Виробництво сухих будівельних сумішей,,,,
2016,Виробництво сухих будівельних сумішей,,,,
2017,Виробництво сухих будівельних сумішей,,,,
2018,Виробництво сухих будівельних сумішей,,,,
2019,Виробництво сухих будівельних сумішей,,,,
2020,Виробництво сухих будівельних сумішей,,,,
2021,Виробництво сухих будівельних сумішей,,,,15.2
2022,Виробництво сухих будівельних сумішей,,,,16.9
2023,Виробництво сухих будівельних сумішей,,,,18.2
2024,Виробництво сухих будівельних сумішей,,,,22.6
2015,Виготовлення виробів із волокнистого цементу,,,,
2016,Виготовлення виробів із волокнистого цементу,,,,
2017,Виготовлення виробів із волокнистого цементу,,,,
2018,Виготовлення виробів із волокнистого цементу,,,,
2019,Виготовлення виробів із волокнистого цементу,,,,
2020,Виготовлення виробів із волокнистого цементу,,,,
2021,Виготовлення виробів із волокнистого цементу,,,,14.3
2022,Виготовлення виробів із волокнистого цементу,,,,10.0
2023,Виготовлення виробів із волокнистого цементу,,,,
2024,Виготовлення виробів із волокнистого цементу,,,,12.5
2015,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2016,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2017,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2018,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2019,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2020,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,
2021,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,19.7
2022,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,25.6
2023,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,27.4
2024,"Виробництво інших виробів із бетону, гіпсу та цементу",,,,26.8
2015,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2016,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2017,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2018,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2019,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2020,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,
2021,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,20.9
2022,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,19.8
2023,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,19.3
2024,"Різання, оброблення та оздоблення декоративного та будівельного каменю",,,,18.8
2015,Виробництво абразивних виробів,,,,
2016,Виробництво абразивних виробів,,,,
2017,Виробництво абразивних виробів,,,,
2018,Виробництво абразивних виробів,,,,
2019,Виробництво абразивних виробів,,,,
2020,Виробництво абразивних виробів,,,,
2021,Виробництво абразивних виробів,,,,17.1
2022,Виробництво абразивних виробів,,,,15.0
2023,Виробництво абразивних виробів,,,,10.0
2024,Виробництво абразивних виробів,,,,7.7
2015,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2016,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2017,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2018,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2019,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2020,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,
2021,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,16.0
2022,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,15.6
2023,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,13.5
2024,"Виробництво неметалевих мінеральних виробів, н.в.і.у.",,,,16.2
2015,"Виробництво чавуну, сталі та феросплавів",,,,
2016,"Виробництво чавуну, сталі та феросплавів",,,,
2017,"Виробництво чавуну, сталі та феросплавів",,,,
2018,"Виробництво чавуну, сталі та феросплавів",,,,
2019,"Виробництво чавуну, сталі та феросплавів",,,,
2020,"Виробництво чавуну, сталі та феросплавів",,,,
2021,"Виробництво чавуну, сталі та феросплавів",,,,12.2
2022,"Виробництво чавуну, сталі та феросплавів",,,,7.6
2023,"Виробництво чавуну, сталі та феросплавів",,,,20.7
2024,"Виробництво чавуну, сталі та феросплавів",,,,24.6
2015,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2016,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2017,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2018,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2019,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2020,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,
2021,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,18.6
2022,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,20.0
2023,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,18.3
2024,"Виробництво труб, порожнистих профілів і фітингів зі сталі",,,,17.7
2015,Холодне волочіння прутків і профілів,,,,
2016,Холодне волочіння прутків і профілів,,,,
2017,Холодне волочіння прутків і профілів,,,,
2018,Холодне волочіння прутків і профілів,,,,
2019,Холодне волочіння прутків і профілів,,,,
2020,Холодне волочіння прутків і профілів,,,,
2021,Холодне волочіння прутків і профілів,,,,25.0
2022,Холодне волочіння прутків і профілів,,,,22.2
2023,Холодне волочіння прутків і профілів,,,,25.0
2024,Холодне волочіння прутків і профілів,,,,
2015,Холодний прокат вузької штаби,,,,
2016,Холодний прокат вузької штаби,,,,
2017,Холодний прокат вузької штаби,,,,
2018,Холодний прокат вузької штаби,,,,
2019,Холодний прокат вузької штаби,,,,
2020,Холодний прокат вузької штаби,,,,
2021,Холодний прокат вузької штаби,,,,16.7
2022,Холодний прокат вузької штаби,,,,
2023,Холодний прокат вузької штаби,,,,20.0
2024,Холодний прокат вузької штаби,,,,25.0
2015,Холодне штампування та гнуття,,,,
2016,Холодне штампування та гнуття,,,,
2017,Холодне штампування та гнуття,,,,
2018,Холодне штампування та гнуття,,,,
2019,Холодне штампування та гнуття,,,,
2020,Холодне штампування та гнуття,,,,
2021,Холодне штампування та гнуття,,,,21.4
2022,Холодне штампування та гнуття,,,,18.7
2023,Холодне штампування та гнуття,,,,19.0
2024,Холодне штампування та гнуття,,,,23.7
2015,Холодне волочіння дроту,,,,
2016,Холодне волочіння дроту,,,,
2017,Холодне волочіння дроту,,,,
2018,Холодне волочіння дроту,,,,
2019,Холодне волочіння дроту,,,,
2020,Холодне волочіння дроту,,,,
2021,Холодне волочіння дроту,,,,20.9
2022,Холодне волочіння дроту,,,,16.2
2023,Холодне волочіння дроту,,,,22.0
2024,Холодне волочіння дроту,,,,23.7
2015,Виробництво дорогоцінних металів,,,,
2016,Виробництво дорогоцінних металів,,,,
2017,Виробництво дорогоцінних металів,,,,
2018,Виробництво дорогоцінних металів,,,,
2019,Виробництво дорогоцінних металів,,,,
2020,Виробництво дорогоцінних металів,,,,
2021,Виробництво дорогоцінних металів,,,,11.4
2022,Виробництво дорогоцінних металів,,,,20.0
2023,Виробництво дорогоцінних металів,,,,12.9
2024,Виробництво дорогоцінних металів,,,,20.7
2015,Виробництво алюмінію,,,,
2016,Виробництво алюмінію,,,,
2017,Виробництво алюмінію,,,,
2018,Виробництво алюмінію,,,,
2019,Виробництво алюмінію,,,,
2020,Виробництво алюмінію,,,,
2021,Виробництво алюмінію,,,,15.9
2022,Виробництво алюмінію,,,,14.9
2023,Виробництво алюмінію,,,,11.6
2024,Виробництво алюмінію,,,,2.3
2015,"Виробництво свинцю, цинку й олова",,,,
2016,"Виробництво свинцю, цинку й олова",,,,
2017,"Виробництво свинцю, цинку й олова",,,,
2018,"Виробництво свинцю, цинку й олова",,,,
2019,"Виробництво свинцю, цинку й олова",,,,
2020,"Виробництво свинцю, цинку й олова",,,,
2021,"Виробництво свинцю, цинку й олова",,,,11.8
2022,"Виробництво свинцю, цинку й олова",,,,7.7
2023,"Виробництво свинцю, цинку й олова",,,,8.3
2024,"Виробництво свинцю, цинку й олова",,,,8.3
2015,Виробництво міді,,,,
2016,Виробництво міді,,,,
2017,Виробництво міді,,,,
2018,Виробництво міді,,,,
2019,Виробництво міді,,,,
2020,Виробництво міді,,,,
2021,Виробництво міді,,,,6.3
2022,Виробництво міді,,,,14.3
2023,Виробництво міді,,,,13.3
2024,Виробництво міді,,,,15.4
2015,Виробництво інших кольорових металів,,,,
2016,Виробництво інших кольорових металів,,,,
2017,Виробництво інших кольорових металів,,,,
2018,Виробництво інших кольорових металів,,,,
2019,Виробництво інших кольорових металів,,,,
2020,Виробництво інших кольорових металів,,,,
2021,Виробництво інших кольорових металів,,,,11.8
2022,Виробництво інших кольорових металів,,,,11.8
2023,Виробництво інших кольорових металів,,,,6.2
2024,Виробництво інших кольорових металів,,,,7.1
2015,Виробництво ядерних матеріалів,,,,
2016,Виробництво ядерних матеріалів,,,,
2017,Виробництво ядерних матеріалів,,,,
2018,Виробництво ядерних матеріалів,,,,
2019,Виробництво ядерних матеріалів,,,,
2020,Виробництво ядерних матеріалів,,,,
2021,Виробництво ядерних матеріалів,,,,
2022,Виробництво ядерних матеріалів,,,,
2023,Виробництво ядерних матеріалів,,,,
2024,Виробництво ядерних матеріалів,,,,
2015,Лиття чавуну,,,,
2016,Лиття чавуну,,,,
2017,Лиття чавуну,,,,
2018,Лиття чавуну,,,,
2019,Лиття чавуну,,,,
2020,Лиття чавуну,,,,
2021,Лиття чавуну,,,,5.7
2022,Лиття чавуну,,,,8.5
2023,Лиття чавуну,,,,13.7
2024,Лиття чавуну,,,,17.4
2015,Лиття сталі,,,,
2016,Лиття сталі,,,,
2017,Лиття сталі,,,,
2018,Лиття сталі,,,,
2019,Лиття сталі,,,,
2020,Лиття сталі,,,,
2021,Лиття сталі,,,,11.6
2022,Лиття сталі,,,,20.6
2023,Лиття сталі,,,,2.8
2024,Лиття сталі,,,,10.5
2015,Лиття легких кольорових металів,,,,
2016,Лиття легких кольорових металів,,,,
2017,Лиття легких кольорових металів,,,,
2018,Лиття легких кольорових металів,,,,
2019,Лиття легких кольорових металів,,,,
2020,Лиття легких кольорових металів,,,,
2021,Лиття легких кольорових металів,,,,7.5
2022,Лиття легких кольорових металів,,,,9.1
2023,Лиття легких кольорових металів,,,,8.7
2024,Лиття легких кольорових металів,,,,15.4
2015,Лиття інших кольорових металів,,,,
2016,Лиття інших кольорових металів,,,,
2017,Лиття інших кольорових металів,,,,
2018,Лиття інших кольорових металів,,,,
2019,Лиття інших кольорових металів,,,,
2020,Лиття інших кольорових металів,,,,
2021,Лиття інших кольорових металів,,,,14.3
2022,Лиття інших кольорових металів,,,,11.8
2023,Лиття інших кольорових металів,,,,21.4
2024,Лиття інших кольорових металів,,,,18.7
2015,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2016,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2017,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2018,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2019,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2020,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,
2021,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,16.1
2022,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,15.0
2023,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,16.2
2024,Виробництво будівельних металевих конструкцій і частин конструкцій,,,,18.0
2015,Виробництво металевих дверей і вікон,,,,
2016,Виробництво металевих дверей і вікон,,,,
2017,Виробництво металевих дверей і вікон,,,,
2018,Виробництво металевих дверей і вікон,,,,
2019,Виробництво металевих дверей і вікон,,,,
2020,Виробництво металевих дверей і вікон,,,,
2021,Виробництво металевих дверей і вікон,,,,17.4
2022,Виробництво металевих дверей і вікон,,,,15.3
2023,Виробництво металевих дверей і вікон,,,,18.1
2024,Виробництво металевих дверей і вікон,,,,22.7
2015,Виробництво радіаторів і  котлів центрального опалення,,,,
2016,Виробництво радіаторів і  котлів центрального опалення,,,,
2017,Виробництво радіаторів і  котлів центрального опалення,,,,
2018,Виробництво радіаторів і  котлів центрального опалення,,,,
2019,Виробництво радіаторів і  котлів центрального опалення,,,,
2020,Виробництво радіаторів і  котлів центрального опалення,,,,
2021,Виробництво радіаторів і  котлів центрального опалення,,,,17.2
2022,Виробництво радіаторів і  котлів центрального опалення,,,,16.1
2023,Виробництво радіаторів і  котлів центрального опалення,,,,16.9
2024,Виробництво радіаторів і  котлів центрального опалення,,,,16.7
2015,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2016,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2017,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2018,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2019,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2020,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,
2021,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,18.2
2022,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,16.9
2023,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,16.7
2024,"Виробництво інших металевих баків, резервуарів і контейнерів",,,,20.5
2015,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2016,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2017,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2018,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2019,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2020,"Виробництво парових котлів, крім котлів центрального опалення",,,,
2021,"Виробництво парових котлів, крім котлів центрального опалення",,,,17.5
2022,"Виробництво парових котлів, крім котлів центрального опалення",,,,10.9
2023,"Виробництво парових котлів, крім котлів центрального опалення",,,,8.3
2024,"Виробництво парових котлів, крім котлів центрального опалення",,,,8.9
2015,Виробництво зброї та боєприпасів,,,,
2016,Виробництво зброї та боєприпасів,,,,
2017,Виробництво зброї та боєприпасів,,,,
2018,Виробництво зброї та боєприпасів,,,,
2019,Виробництво зброї та боєприпасів,,,,
2020,Виробництво зброї та боєприпасів,,,,
2021,Виробництво зброї та боєприпасів,,,,11.1
2022,Виробництво зброї та боєприпасів,,,,8.3
2023,Виробництво зброї та боєприпасів,,,,9.9
2024,Виробництво зброї та боєприпасів,,,,13.3
2015,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2016,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2017,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2018,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2019,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2020,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,
2021,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,18.1
2022,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,14.5
2023,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,17.1
2024,"Кування, пресування, штампування, профілювання; порошкова металургія",,,,16.9
2015,Оброблення металів та нанесення покриття на метали,,,,
