Year,Вік,Стать,Місцевість проживання,by frequency of use,за метою користування,Область,Value
2016,,,,,,Луганська,
2017,,,,,,Луганська,
2018,,,,,,Луганська,
2019,,,,,,Луганська,
2020,,,,,,Луганська,79.3
2021,,,,,,Луганська,81.2
2022,,,,,,Луганська,
2023,,,,,,Луганська,
2024,,,,,,Луганська,
2015,,,,,,Львівська,
2016,,,,,,Львівська,
2017,,,,,,Львівська,
2018,,,,,,Львівська,
2019,,,,,,Львівська,
2020,,,,,,Львівська,77.6
2021,,,,,,Львівська,83.5
2022,,,,,,Львівська,
2023,,,,,,Львівська,
2024,,,,,,Львівська,
2015,,,,,,Миколаївська,
2016,,,,,,Миколаївська,
2017,,,,,,Миколаївська,
2018,,,,,,Миколаївська,
2019,,,,,,Миколаївська,
2020,,,,,,Миколаївська,79.8
2021,,,,,,Миколаївська,83.7
2022,,,,,,Миколаївська,
2023,,,,,,Миколаївська,
2024,,,,,,Миколаївська,
2015,,,,,,Одеська,
2016,,,,,,Одеська,
2017,,,,,,Одеська,
2018,,,,,,Одеська,
2019,,,,,,Одеська,
2020,,,,,,Одеська,82.3
2021,,,,,,Одеська,86.8
2022,,,,,,Одеська,
2023,,,,,,Одеська,
2024,,,,,,Одеська,
2015,,,,,,Полтавська,
2016,,,,,,Полтавська,
2017,,,,,,Полтавська,
2018,,,,,,Полтавська,
2019,,,,,,Полтавська,
2020,,,,,,Полтавська,75.5
2021,,,,,,Полтавська,76.1
2022,,,,,,Полтавська,
2023,,,,,,Полтавська,
2024,,,,,,Полтавська,
2015,,,,,,Рівненська,
2016,,,,,,Рівненська,
2017,,,,,,Рівненська,
2018,,,,,,Рівненська,
2019,,,,,,Рівненська,
2020,,,,,,Рівненська,82.3
2021,,,,,,Рівненська,90.3
2022,,,,,,Рівненська,
2023,,,,,,Рівненська,
2024,,,,,,Рівненська,
2015,,,,,,Сумська,
2016,,,,,,Сумська,
2017,,,,,,Сумська,
2018,,,,,,Сумська,
2019,,,,,,Сумська,
2020,,,,,,Сумська,81.1
2021,,,,,,Сумська,78.6
2022,,,,,,Сумська,
2023,,,,,,Сумська,
2024,,,,,,Сумська,
2015,,,,,,Тернопільська,
2016,,,,,,Тернопільська,
2017,,,,,,Тернопільська,
2018,,,,,,Тернопільська,
2019,,,,,,Тернопільська,
2020,,,,,,Тернопільська,81.1
2021,,,,,,Тернопільська,82.7
2022,,,,,,Тернопільська,
2023,,,,,,Тернопільська,
2024,,,,,,Тернопільська,
2015,,,,,,Харківська,
2016,,,,,,Харківська,
2017,,,,,,Харківська,
2018,,,,,,Харківська,
2019,,,,,,Харківська,
2020,,,,,,Харківська,86.0
2021,,,,,,Харківська,86.5
2022,,,,,,Харківська,
2023,,,,,,Харківська,
2024,,,,,,Харківська,
2015,,,,,,Херсонська,
2016,,,,,,Херсонська,
2017,,,,,,Херсонська,
2018,,,,,,Херсонська,
2019,,,,,,Херсонська,
2020,,,,,,Херсонська,74.1
2021,,,,,,Херсонська,82.2
2022,,,,,,Херсонська,
2023,,,,,,Херсонська,
2024,,,,,,Херсонська,
2015,,,,,,Хмельницька,
2016,,,,,,Хмельницька,
2017,,,,,,Хмельницька,
2018,,,,,,Хмельницька,
2019,,,,,,Хмельницька,
2020,,,,,,Хмельницька,80.1
2021,,,,,,Хмельницька,80.8
2022,,,,,,Хмельницька,
2023,,,,,,Хмельницька,
2024,,,,,,Хмельницька,
2015,,,,,,Черкаська,
2016,,,,,,Черкаська,
2017,,,,,,Черкаська,
2018,,,,,,Черкаська,
2019,,,,,,Черкаська,
2020,,,,,,Черкаська,81.4
2021,,,,,,Черкаська,87.3
2022,,,,,,Черкаська,
2023,,,,,,Черкаська,
2024,,,,,,Черкаська,
2015,,,,,,Чернівецька,
2016,,,,,,Чернівецька,
2017,,,,,,Чернівецька,
2018,,,,,,Чернівецька,
2019,,,,,,Чернівецька,
2020,,,,,,Чернівецька,77.6
2021,,,,,,Чернівецька,85.8
2022,,,,,,Чернівецька,
2023,,,,,,Чернівецька,
2024,,,,,,Чернівецька,
2015,,,,,,Чернігівська,
2016,,,,,,Чернігівська,
2017,,,,,,Чернігівська,
2018,,,,,,Чернігівська,
2019,,,,,,Чернігівська,
2020,,,,,,Чернігівська,73.1
2021,,,,,,Чернігівська,78.8
2022,,,,,,Чернігівська,
2023,,,,,,Чернігівська,
2024,,,,,,Чернігівська,
2015,,,,,,м. Київ,
2016,,,,,,м. Київ,
2017,,,,,,м. Київ,
2018,,,,,,м. Київ,
2019,,,,,,м. Київ,
2020,,,,,,м. Київ,90.6
2021,,,,,,м. Київ,89.6
2022,,,,,,м. Київ,
2023,,,,,,м. Київ,
2024,,,,,,м. Київ,
2015,,,,,,м. Севастополь,
2016,,,,,,м. Севастополь,
2017,,,,,,м. Севастополь,
2018,,,,,,м. Севастополь,
2019,,,,,,м. Севастополь,
2020,,,,,,м. Севастополь,
2021,,,,,,м. Севастополь,
2022,,,,,,м. Севастополь,
2023,,,,,,м. Севастополь,
2024,,,,,,м. Севастополь,
