Year,by types of economic activity,by the organisational and legal forms,Region,Number of employees,Value
2016,manufacture of lime and plaster,,,,
2017,manufacture of lime and plaster,,,,
2018,manufacture of lime and plaster,,,,
2019,manufacture of lime and plaster,,,,
2020,manufacture of lime and plaster,,,,
2021,manufacture of lime and plaster,,,,
2022,manufacture of lime and plaster,,,,
2023,manufacture of lime and plaster,,,,5.3
2024,manufacture of lime and plaster,,,,17.4
2015,manufacture of concrete products for construction purposes,,,,
2016,manufacture of concrete products for construction purposes,,,,
2017,manufacture of concrete products for construction purposes,,,,
2018,manufacture of concrete products for construction purposes,,,,
2019,manufacture of concrete products for construction purposes,,,,
2020,manufacture of concrete products for construction purposes,,,,
2021,manufacture of concrete products for construction purposes,,,,15.0
2022,manufacture of concrete products for construction purposes,,,,15.4
2023,manufacture of concrete products for construction purposes,,,,15.3
2024,manufacture of concrete products for construction purposes,,,,17.5
2015,manufacture of plaster products for construction purposes,,,,
2016,manufacture of plaster products for construction purposes,,,,
2017,manufacture of plaster products for construction purposes,,,,
2018,manufacture of plaster products for construction purposes,,,,
2019,manufacture of plaster products for construction purposes,,,,
2020,manufacture of plaster products for construction purposes,,,,
2021,manufacture of plaster products for construction purposes,,,,8.0
2022,manufacture of plaster products for construction purposes,,,,4.3
2023,manufacture of plaster products for construction purposes,,,,8.3
2024,manufacture of plaster products for construction purposes,,,,13.3
2015,manufacture of ready-mixed concrete,,,,
2016,manufacture of ready-mixed concrete,,,,
2017,manufacture of ready-mixed concrete,,,,
2018,manufacture of ready-mixed concrete,,,,
2019,manufacture of ready-mixed concrete,,,,
2020,manufacture of ready-mixed concrete,,,,
2021,manufacture of ready-mixed concrete,,,,16.4
2022,manufacture of ready-mixed concrete,,,,15.1
2023,manufacture of ready-mixed concrete,,,,16.6
2024,manufacture of ready-mixed concrete,,,,17.8
2015,manufacture of mortars,,,,
2016,manufacture of mortars,,,,
2017,manufacture of mortars,,,,
2018,manufacture of mortars,,,,
2019,manufacture of mortars,,,,
2020,manufacture of mortars,,,,
2021,manufacture of mortars,,,,15.2
2022,manufacture of mortars,,,,16.9
2023,manufacture of mortars,,,,18.2
2024,manufacture of mortars,,,,22.6
2015,manufacture of fibre cement,,,,
2016,manufacture of fibre cement,,,,
2017,manufacture of fibre cement,,,,
2018,manufacture of fibre cement,,,,
2019,manufacture of fibre cement,,,,
2020,manufacture of fibre cement,,,,
2021,manufacture of fibre cement,,,,14.3
2022,manufacture of fibre cement,,,,10.0
2023,manufacture of fibre cement,,,,
2024,manufacture of fibre cement,,,,12.5
2015,"manufacture of other articles of concrete, plaster and cement",,,,
2016,"manufacture of other articles of concrete, plaster and cement",,,,
2017,"manufacture of other articles of concrete, plaster and cement",,,,
2018,"manufacture of other articles of concrete, plaster and cement",,,,
2019,"manufacture of other articles of concrete, plaster and cement",,,,
2020,"manufacture of other articles of concrete, plaster and cement",,,,
2021,"manufacture of other articles of concrete, plaster and cement",,,,19.7
2022,"manufacture of other articles of concrete, plaster and cement",,,,25.6
2023,"manufacture of other articles of concrete, plaster and cement",,,,27.4
2024,"manufacture of other articles of concrete, plaster and cement",,,,26.8
2015,"cutting, shaping and finishing of stone",,,,
2016,"cutting, shaping and finishing of stone",,,,
2017,"cutting, shaping and finishing of stone",,,,
2018,"cutting, shaping and finishing of stone",,,,
2019,"cutting, shaping and finishing of stone",,,,
2020,"cutting, shaping and finishing of stone",,,,
2021,"cutting, shaping and finishing of stone",,,,20.9
2022,"cutting, shaping and finishing of stone",,,,19.8
2023,"cutting, shaping and finishing of stone",,,,19.3
2024,"cutting, shaping and finishing of stone",,,,18.8
2015,production of abrasive products,,,,
2016,production of abrasive products,,,,
2017,production of abrasive products,,,,
2018,production of abrasive products,,,,
2019,production of abrasive products,,,,
2020,production of abrasive products,,,,
2021,production of abrasive products,,,,17.1
2022,production of abrasive products,,,,15.0
2023,production of abrasive products,,,,10.0
2024,production of abrasive products,,,,7.7
2015,manufacture of other non-metallic mineral products n.e.c.,,,,
2016,manufacture of other non-metallic mineral products n.e.c.,,,,
2017,manufacture of other non-metallic mineral products n.e.c.,,,,
2018,manufacture of other non-metallic mineral products n.e.c.,,,,
2019,manufacture of other non-metallic mineral products n.e.c.,,,,
2020,manufacture of other non-metallic mineral products n.e.c.,,,,
2021,manufacture of other non-metallic mineral products n.e.c.,,,,16.0
2022,manufacture of other non-metallic mineral products n.e.c.,,,,15.6
2023,manufacture of other non-metallic mineral products n.e.c.,,,,13.5
2024,manufacture of other non-metallic mineral products n.e.c.,,,,16.2
2015,manufacture of basic iron and steel and of ferro-alloys,,,,
2016,manufacture of basic iron and steel and of ferro-alloys,,,,
2017,manufacture of basic iron and steel and of ferro-alloys,,,,
2018,manufacture of basic iron and steel and of ferro-alloys,,,,
2019,manufacture of basic iron and steel and of ferro-alloys,,,,
2020,manufacture of basic iron and steel and of ferro-alloys,,,,
2021,manufacture of basic iron and steel and of ferro-alloys,,,,12.2
2022,manufacture of basic iron and steel and of ferro-alloys,,,,7.6
2023,manufacture of basic iron and steel and of ferro-alloys,,,,20.7
2024,manufacture of basic iron and steel and of ferro-alloys,,,,24.6
2015,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2016,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2017,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2018,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2019,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2020,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,
2021,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,18.6
2022,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,20.0
2023,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,18.3
2024,"manufacture of tubes, pipes, hollow profiles and related fittings, of steel",,,,17.7
2015,cold drawing of bars,,,,
2016,cold drawing of bars,,,,
2017,cold drawing of bars,,,,
2018,cold drawing of bars,,,,
2019,cold drawing of bars,,,,
2020,cold drawing of bars,,,,
2021,cold drawing of bars,,,,25.0
2022,cold drawing of bars,,,,22.2
2023,cold drawing of bars,,,,25.0
2024,cold drawing of bars,,,,
2015,cold rolling of narrow strip,,,,
2016,cold rolling of narrow strip,,,,
2017,cold rolling of narrow strip,,,,
2018,cold rolling of narrow strip,,,,
2019,cold rolling of narrow strip,,,,
2020,cold rolling of narrow strip,,,,
2021,cold rolling of narrow strip,,,,16.7
2022,cold rolling of narrow strip,,,,
2023,cold rolling of narrow strip,,,,20.0
2024,cold rolling of narrow strip,,,,25.0
2015,cold forming or folding,,,,
2016,cold forming or folding,,,,
2017,cold forming or folding,,,,
2018,cold forming or folding,,,,
2019,cold forming or folding,,,,
2020,cold forming or folding,,,,
2021,cold forming or folding,,,,21.4
2022,cold forming or folding,,,,18.7
2023,cold forming or folding,,,,19.0
2024,cold forming or folding,,,,23.7
2015,cold drawing of wire,,,,
2016,cold drawing of wire,,,,
2017,cold drawing of wire,,,,
2018,cold drawing of wire,,,,
2019,cold drawing of wire,,,,
2020,cold drawing of wire,,,,
2021,cold drawing of wire,,,,20.9
2022,cold drawing of wire,,,,16.2
2023,cold drawing of wire,,,,22.0
2024,cold drawing of wire,,,,23.7
2015,precious metals production,,,,
2016,precious metals production,,,,
2017,precious metals production,,,,
2018,precious metals production,,,,
2019,precious metals production,,,,
2020,precious metals production,,,,
2021,precious metals production,,,,11.4
2022,precious metals production,,,,20.0
2023,precious metals production,,,,12.9
2024,precious metals production,,,,20.7
2015,aluminium production,,,,
2016,aluminium production,,,,
2017,aluminium production,,,,
2018,aluminium production,,,,
2019,aluminium production,,,,
2020,aluminium production,,,,
2021,aluminium production,,,,15.9
2022,aluminium production,,,,14.9
2023,aluminium production,,,,11.6
2024,aluminium production,,,,2.3
2015,"lead, zinc and tin production",,,,
2016,"lead, zinc and tin production",,,,
2017,"lead, zinc and tin production",,,,
2018,"lead, zinc and tin production",,,,
2019,"lead, zinc and tin production",,,,
2020,"lead, zinc and tin production",,,,
2021,"lead, zinc and tin production",,,,11.8
2022,"lead, zinc and tin production",,,,7.7
2023,"lead, zinc and tin production",,,,8.3
2024,"lead, zinc and tin production",,,,8.3
2015,copper production,,,,
2016,copper production,,,,
2017,copper production,,,,
2018,copper production,,,,
2019,copper production,,,,
2020,copper production,,,,
2021,copper production,,,,6.3
2022,copper production,,,,14.3
2023,copper production,,,,13.3
2024,copper production,,,,15.4
2015,other non-ferrous metal production,,,,
2016,other non-ferrous metal production,,,,
2017,other non-ferrous metal production,,,,
2018,other non-ferrous metal production,,,,
2019,other non-ferrous metal production,,,,
2020,other non-ferrous metal production,,,,
2021,other non-ferrous metal production,,,,11.8
2022,other non-ferrous metal production,,,,11.8
2023,other non-ferrous metal production,,,,6.2
2024,other non-ferrous metal production,,,,7.1
2015,nuclear materials production,,,,
2016,nuclear materials production,,,,
2017,nuclear materials production,,,,
2018,nuclear materials production,,,,
2019,nuclear materials production,,,,
2020,nuclear materials production,,,,
2021,nuclear materials production,,,,
2022,nuclear materials production,,,,
2023,nuclear materials production,,,,
2024,nuclear materials production,,,,
2015,casting of iron,,,,
2016,casting of iron,,,,
2017,casting of iron,,,,
2018,casting of iron,,,,
2019,casting of iron,,,,
2020,casting of iron,,,,
2021,casting of iron,,,,5.7
2022,casting of iron,,,,8.5
2023,casting of iron,,,,13.7
2024,casting of iron,,,,17.4
2015,casting of steel,,,,
2016,casting of steel,,,,
2017,casting of steel,,,,
2018,casting of steel,,,,
2019,casting of steel,,,,
2020,casting of steel,,,,
2021,casting of steel,,,,11.6
2022,casting of steel,,,,20.6
2023,casting of steel,,,,2.8
2024,casting of steel,,,,10.5
2015,casting of light metals,,,,
2016,casting of light metals,,,,
2017,casting of light metals,,,,
2018,casting of light metals,,,,
2019,casting of light metals,,,,
2020,casting of light metals,,,,
2021,casting of light metals,,,,7.5
2022,casting of light metals,,,,9.1
2023,casting of light metals,,,,8.7
2024,casting of light metals,,,,15.4
2015,casting of other non-ferrous metals,,,,
2016,casting of other non-ferrous metals,,,,
2017,casting of other non-ferrous metals,,,,
2018,casting of other non-ferrous metals,,,,
2019,casting of other non-ferrous metals,,,,
2020,casting of other non-ferrous metals,,,,
2021,casting of other non-ferrous metals,,,,14.3
2022,casting of other non-ferrous metals,,,,11.8
2023,casting of other non-ferrous metals,,,,21.4
2024,casting of other non-ferrous metals,,,,18.7
2015,manufacture of metal structures and parts of structures,,,,
2016,manufacture of metal structures and parts of structures,,,,
2017,manufacture of metal structures and parts of structures,,,,
2018,manufacture of metal structures and parts of structures,,,,
2019,manufacture of metal structures and parts of structures,,,,
2020,manufacture of metal structures and parts of structures,,,,
2021,manufacture of metal structures and parts of structures,,,,16.1
2022,manufacture of metal structures and parts of structures,,,,15.0
2023,manufacture of metal structures and parts of structures,,,,16.2
2024,manufacture of metal structures and parts of structures,,,,18.0
2015,manufacture of doors and windows of metal,,,,
2016,manufacture of doors and windows of metal,,,,
2017,manufacture of doors and windows of metal,,,,
2018,manufacture of doors and windows of metal,,,,
2019,manufacture of doors and windows of metal,,,,
2020,manufacture of doors and windows of metal,,,,
2021,manufacture of doors and windows of metal,,,,17.4
2022,manufacture of doors and windows of metal,,,,15.3
2023,manufacture of doors and windows of metal,,,,18.1
2024,manufacture of doors and windows of metal,,,,22.7
2015,manufacture of central heating radiators and boilers,,,,
2016,manufacture of central heating radiators and boilers,,,,
2017,manufacture of central heating radiators and boilers,,,,
2018,manufacture of central heating radiators and boilers,,,,
2019,manufacture of central heating radiators and boilers,,,,
2020,manufacture of central heating radiators and boilers,,,,
2021,manufacture of central heating radiators and boilers,,,,17.2
2022,manufacture of central heating radiators and boilers,,,,16.1
2023,manufacture of central heating radiators and boilers,,,,16.9
2024,manufacture of central heating radiators and boilers,,,,16.7
2015,"manufacture of other tanks, reservoirs and containers of metal",,,,
2016,"manufacture of other tanks, reservoirs and containers of metal",,,,
2017,"manufacture of other tanks, reservoirs and containers of metal",,,,
2018,"manufacture of other tanks, reservoirs and containers of metal",,,,
2019,"manufacture of other tanks, reservoirs and containers of metal",,,,
2020,"manufacture of other tanks, reservoirs and containers of metal",,,,
2021,"manufacture of other tanks, reservoirs and containers of metal",,,,18.2
2022,"manufacture of other tanks, reservoirs and containers of metal",,,,16.9
2023,"manufacture of other tanks, reservoirs and containers of metal",,,,16.7
2024,"manufacture of other tanks, reservoirs and containers of metal",,,,20.5
2015,"manufacture of steam generators, except central heating hot water boilers",,,,
2016,"manufacture of steam generators, except central heating hot water boilers",,,,
2017,"manufacture of steam generators, except central heating hot water boilers",,,,
2018,"manufacture of steam generators, except central heating hot water boilers",,,,
2019,"manufacture of steam generators, except central heating hot water boilers",,,,
2020,"manufacture of steam generators, except central heating hot water boilers",,,,
2021,"manufacture of steam generators, except central heating hot water boilers",,,,17.5
2022,"manufacture of steam generators, except central heating hot water boilers",,,,10.9
2023,"manufacture of steam generators, except central heating hot water boilers",,,,8.3
2024,"manufacture of steam generators, except central heating hot water boilers",,,,8.9
2015,manufacture of weapons and ammunition,,,,
2016,manufacture of weapons and ammunition,,,,
2017,manufacture of weapons and ammunition,,,,
2018,manufacture of weapons and ammunition,,,,
2019,manufacture of weapons and ammunition,,,,
2020,manufacture of weapons and ammunition,,,,
2021,manufacture of weapons and ammunition,,,,11.1
2022,manufacture of weapons and ammunition,,,,8.3
2023,manufacture of weapons and ammunition,,,,9.9
2024,manufacture of weapons and ammunition,,,,13.3
2015,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2016,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2017,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2018,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2019,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2020,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,
2021,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,18.1
2022,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,14.5
2023,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,17.1
2024,"forging, pressing, stamping and roll-forming of metal; powder metallurgy",,,,16.9
2015,treatment and coating of metals,,,,
2016,treatment and coating of metals,,,,
2017,treatment and coating of metals,,,,
2018,treatment and coating of metals,,,,
2019,treatment and coating of metals,,,,
2020,treatment and coating of metals,,,,
2021,treatment and coating of metals,,,,17.6
2022,treatment and coating of metals,,,,17.2
2023,treatment and coating of metals,,,,18.7
2024,treatment and coating of metals,,,,21.1
2015,machining,,,,
2016,machining,,,,
2017,machining,,,,
2018,machining,,,,
2019,machining,,,,
2020,machining,,,,
2021,machining,,,,17.0
2022,machining,,,,18.0
2023,machining,,,,17.5
2024,machining,,,,18.7
2015,manufacture of cutlery,,,,
2016,manufacture of cutlery,,,,
2017,manufacture of cutlery,,,,
2018,manufacture of cutlery,,,,
2019,manufacture of cutlery,,,,
2020,manufacture of cutlery,,,,
2021,manufacture of cutlery,,,,20.0
2022,manufacture of cutlery,,,,16.7
2023,manufacture of cutlery,,,,20.0
2024,manufacture of cutlery,,,,50.0
2015,manufacture of locks and hinges,,,,
2016,manufacture of locks and hinges,,,,
2017,manufacture of locks and hinges,,,,
2018,manufacture of locks and hinges,,,,
2019,manufacture of locks and hinges,,,,
2020,manufacture of locks and hinges,,,,
2021,manufacture of locks and hinges,,,,6.5
2022,manufacture of locks and hinges,,,,6.9
2023,manufacture of locks and hinges,,,,10.3
2024,manufacture of locks and hinges,,,,14.3
2015,manufacture of tools,,,,
2016,manufacture of tools,,,,
2017,manufacture of tools,,,,
2018,manufacture of tools,,,,
2019,manufacture of tools,,,,
2020,manufacture of tools,,,,
2021,manufacture of tools,,,,19.4
2022,manufacture of tools,,,,18.2
2023,manufacture of tools,,,,17.1
2024,manufacture of tools,,,,22.2
2015,manufacture of steel drums and similar containers,,,,
2016,manufacture of steel drums and similar containers,,,,
2017,manufacture of steel drums and similar containers,,,,
2018,manufacture of steel drums and similar containers,,,,
2019,manufacture of steel drums and similar containers,,,,
2020,manufacture of steel drums and similar containers,,,,
2021,manufacture of steel drums and similar containers,,,,10.0
2022,manufacture of steel drums and similar containers,,,,11.1
2023,manufacture of steel drums and similar containers,,,,11.1
2024,manufacture of steel drums and similar containers,,,,30.0
2015,manufacture of light metal packaging,,,,
2016,manufacture of light metal packaging,,,,
2017,manufacture of light metal packaging,,,,
2018,manufacture of light metal packaging,,,,
2019,manufacture of light metal packaging,,,,
2020,manufacture of light metal packaging,,,,
2021,manufacture of light metal packaging,,,,16.7
2022,manufacture of light metal packaging,,,,16.7
2023,manufacture of light metal packaging,,,,18.4
2024,manufacture of light metal packaging,,,,23.8
2015,"manufacture of wire products, chain and springs",,,,
2016,"manufacture of wire products, chain and springs",,,,
2017,"manufacture of wire products, chain and springs",,,,
2018,"manufacture of wire products, chain and springs",,,,
2019,"manufacture of wire products, chain and springs",,,,
2020,"manufacture of wire products, chain and springs",,,,
2021,"manufacture of wire products, chain and springs",,,,16.2
2022,"manufacture of wire products, chain and springs",,,,17.0
2023,"manufacture of wire products, chain and springs",,,,19.1
2024,"manufacture of wire products, chain and springs",,,,19.3
2015,manufacture of fasteners and screw machine products,,,,
2016,manufacture of fasteners and screw machine products,,,,
2017,manufacture of fasteners and screw machine products,,,,
2018,manufacture of fasteners and screw machine products,,,,
2019,manufacture of fasteners and screw machine products,,,,
2020,manufacture of fasteners and screw machine products,,,,
2021,manufacture of fasteners and screw machine products,,,,17.1
2022,manufacture of fasteners and screw machine products,,,,24.1
2023,manufacture of fasteners and screw machine products,,,,17.9
2024,manufacture of fasteners and screw machine products,,,,16.7
2015,manufacture of other fabricated metal products n.e.c.,,,,
2016,manufacture of other fabricated metal products n.e.c.,,,,
2017,manufacture of other fabricated metal products n.e.c.,,,,
2018,manufacture of other fabricated metal products n.e.c.,,,,
2019,manufacture of other fabricated metal products n.e.c.,,,,
2020,manufacture of other fabricated metal products n.e.c.,,,,
2021,manufacture of other fabricated metal products n.e.c.,,,,15.4
2022,manufacture of other fabricated metal products n.e.c.,,,,16.4
2023,manufacture of other fabricated metal products n.e.c.,,,,17.9
2024,manufacture of other fabricated metal products n.e.c.,,,,20.1
2015,manufacture of electronic components,,,,
2016,manufacture of electronic components,,,,
2017,manufacture of electronic components,,,,
2018,manufacture of electronic components,,,,
2019,manufacture of electronic components,,,,
2020,manufacture of electronic components,,,,
2021,manufacture of electronic components,,,,11.6
2022,manufacture of electronic components,,,,11.0
2023,manufacture of electronic components,,,,11.6
2024,manufacture of electronic components,,,,18.5
2015,manufacture of loaded electronic boards,,,,
2016,manufacture of loaded electronic boards,,,,
2017,manufacture of loaded electronic boards,,,,
2018,manufacture of loaded electronic boards,,,,
2019,manufacture of loaded electronic boards,,,,
2020,manufacture of loaded electronic boards,,,,
2021,manufacture of loaded electronic boards,,,,9.8
2022,manufacture of loaded electronic boards,,,,5.6
2023,manufacture of loaded electronic boards,,,,5.3
2024,manufacture of loaded electronic boards,,,,7.8
2015,manufacture of computers and peripheral equipment,,,,
2016,manufacture of computers and peripheral equipment,,,,
2017,manufacture of computers and peripheral equipment,,,,
2018,manufacture of computers and peripheral equipment,,,,
2019,manufacture of computers and peripheral equipment,,,,
2020,manufacture of computers and peripheral equipment,,,,
2021,manufacture of computers and peripheral equipment,,,,13.9
2022,manufacture of computers and peripheral equipment,,,,12.9
2023,manufacture of computers and peripheral equipment,,,,16.1
2024,manufacture of computers and peripheral equipment,,,,14.4
2015,manufacture of communication equipment,,,,
2016,manufacture of communication equipment,,,,
2017,manufacture of communication equipment,,,,
2018,manufacture of communication equipment,,,,
2019,manufacture of communication equipment,,,,
2020,manufacture of communication equipment,,,,
2021,manufacture of communication equipment,,,,7.5
2022,manufacture of communication equipment,,,,4.7
2023,manufacture of communication equipment,,,,6.7
2024,manufacture of communication equipment,,,,14.7
2015,manufacture of consumer electronics,,,,
2016,manufacture of consumer electronics,,,,
2017,manufacture of consumer electronics,,,,
2018,manufacture of consumer electronics,,,,
2019,manufacture of consumer electronics,,,,
2020,manufacture of consumer electronics,,,,
2021,manufacture of consumer electronics,,,,6.7
2022,manufacture of consumer electronics,,,,13.8
2023,manufacture of consumer electronics,,,,7.7
2024,manufacture of consumer electronics,,,,9.4
2015,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2016,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2017,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2018,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2019,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2020,"manufacture of instruments and appliances for measuring, testing and navigation",,,,
2021,"manufacture of instruments and appliances for measuring, testing and navigation",,,,10.8
2022,"manufacture of instruments and appliances for measuring, testing and navigation",,,,12.3
2023,"manufacture of instruments and appliances for measuring, testing and navigation",,,,12.3
2024,"manufacture of instruments and appliances for measuring, testing and navigation",,,,12.4
2015,manufacture of watches and clocks,,,,
2016,manufacture of watches and clocks,,,,
2017,manufacture of watches and clocks,,,,
2018,manufacture of watches and clocks,,,,
2019,manufacture of watches and clocks,,,,
2020,manufacture of watches and clocks,,,,
2021,manufacture of watches and clocks,,,,25.0
2022,manufacture of watches and clocks,,,,25.0
2023,manufacture of watches and clocks,,,,33.3
2024,manufacture of watches and clocks,,,,25.0
2015,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2016,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2017,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2018,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2019,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2020,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,
2021,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,15.1
2022,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,11.9
2023,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,12.0
2024,"manufacture of irradiation, electromedical and electrotherapeutic equipment",,,,18.2
2015,manufacture of optical instruments and photographic equipment,,,,
2016,manufacture of optical instruments and photographic equipment,,,,
2017,manufacture of optical instruments and photographic equipment,,,,
2018,manufacture of optical instruments and photographic equipment,,,,
2019,manufacture of optical instruments and photographic equipment,,,,
2020,manufacture of optical instruments and photographic equipment,,,,
2021,manufacture of optical instruments and photographic equipment,,,,15.2
2022,manufacture of optical instruments and photographic equipment,,,,8.7
2023,manufacture of optical instruments and photographic equipment,,,,18.5
2024,manufacture of optical instruments and photographic equipment,,,,9.7
2015,manufacture of magnetic and optical media,,,,
2016,manufacture of magnetic and optical media,,,,
2017,manufacture of magnetic and optical media,,,,
2018,manufacture of magnetic and optical media,,,,
2019,manufacture of magnetic and optical media,,,,
2020,manufacture of magnetic and optical media,,,,
2021,manufacture of magnetic and optical media,,,,37.5
2022,manufacture of magnetic and optical media,,,,
2023,manufacture of magnetic and optical media,,,,
2024,manufacture of magnetic and optical media,,,,
2015,"manufacture of electric motors, generators and transformers",,,,
2016,"manufacture of electric motors, generators and transformers",,,,
2017,"manufacture of electric motors, generators and transformers",,,,
2018,"manufacture of electric motors, generators and transformers",,,,
2019,"manufacture of electric motors, generators and transformers",,,,
2020,"manufacture of electric motors, generators and transformers",,,,
2021,"manufacture of electric motors, generators and transformers",,,,10.4
2022,"manufacture of electric motors, generators and transformers",,,,15.3
2023,"manufacture of electric motors, generators and transformers",,,,11.1
2024,"manufacture of electric motors, generators and transformers",,,,16.3
2015,manufacture of electricity distribution and control apparatus,,,,
2016,manufacture of electricity distribution and control apparatus,,,,
2017,manufacture of electricity distribution and control apparatus,,,,
2018,manufacture of electricity distribution and control apparatus,,,,
2019,manufacture of electricity distribution and control apparatus,,,,
2020,manufacture of electricity distribution and control apparatus,,,,
2021,manufacture of electricity distribution and control apparatus,,,,14.3
2022,manufacture of electricity distribution and control apparatus,,,,14.6
2023,manufacture of electricity distribution and control apparatus,,,,15.8
2024,manufacture of electricity distribution and control apparatus,,,,18.6
2015,manufacture of batteries and accumulators,,,,
2016,manufacture of batteries and accumulators,,,,
2017,manufacture of batteries and accumulators,,,,
2018,manufacture of batteries and accumulators,,,,
2019,manufacture of batteries and accumulators,,,,
2020,manufacture of batteries and accumulators,,,,
2021,manufacture of batteries and accumulators,,,,18.2
2022,manufacture of batteries and accumulators,,,,10.0
2023,manufacture of batteries and accumulators,,,,17.4
2024,manufacture of batteries and accumulators,,,,13.2
2015,manufacture of fibre optic cables,,,,
2016,manufacture of fibre optic cables,,,,
2017,manufacture of fibre optic cables,,,,
2018,manufacture of fibre optic cables,,,,
2019,manufacture of fibre optic cables,,,,
2020,manufacture of fibre optic cables,,,,
2021,manufacture of fibre optic cables,,,,16.7
2022,manufacture of fibre optic cables,,,,40.0
2023,manufacture of fibre optic cables,,,,40.0
2024,manufacture of fibre optic cables,,,,40.0
2015,manufacture of other electronic and electric wires and cables,,,,
2016,manufacture of other electronic and electric wires and cables,,,,
2017,manufacture of other electronic and electric wires and cables,,,,
2018,manufacture of other electronic and electric wires and cables,,,,
2019,manufacture of other electronic and electric wires and cables,,,,
2020,manufacture of other electronic and electric wires and cables,,,,
2021,manufacture of other electronic and electric wires and cables,,,,10.7
2022,manufacture of other electronic and electric wires and cables,,,,9.7
2023,manufacture of other electronic and electric wires and cables,,,,13.7
2024,manufacture of other electronic and electric wires and cables,,,,17.9
2015,manufacture of wiring devices,,,,
2016,manufacture of wiring devices,,,,
2017,manufacture of wiring devices,,,,
2018,manufacture of wiring devices,,,,
2019,manufacture of wiring devices,,,,
2020,manufacture of wiring devices,,,,
2021,manufacture of wiring devices,,,,11.4
2022,manufacture of wiring devices,,,,9.5
2023,manufacture of wiring devices,,,,11.9
2024,manufacture of wiring devices,,,,20.9
2015,manufacture of electric lighting equipment,,,,
2016,manufacture of electric lighting equipment,,,,
2017,manufacture of electric lighting equipment,,,,
2018,manufacture of electric lighting equipment,,,,
2019,manufacture of electric lighting equipment,,,,
2020,manufacture of electric lighting equipment,,,,
2021,manufacture of electric lighting equipment,,,,10.2
2022,manufacture of electric lighting equipment,,,,8.4
2023,manufacture of electric lighting equipment,,,,9.1
2024,manufacture of electric lighting equipment,,,,17.7
2015,manufacture of electric domestic appliances,,,,
2016,manufacture of electric domestic appliances,,,,
2017,manufacture of electric domestic appliances,,,,
2018,manufacture of electric domestic appliances,,,,
2019,manufacture of electric domestic appliances,,,,
2020,manufacture of electric domestic appliances,,,,
2021,manufacture of electric domestic appliances,,,,14.6
2022,manufacture of electric domestic appliances,,,,10.1
2023,manufacture of electric domestic appliances,,,,16.2
2024,manufacture of electric domestic appliances,,,,18.8
2015,manufacture of non-electric domestic appliances,,,,
2016,manufacture of non-electric domestic appliances,,,,
2017,manufacture of non-electric domestic appliances,,,,
2018,manufacture of non-electric domestic appliances,,,,
2019,manufacture of non-electric domestic appliances,,,,
2020,manufacture of non-electric domestic appliances,,,,
2021,manufacture of non-electric domestic appliances,,,,10.0
2022,manufacture of non-electric domestic appliances,,,,7.7
2023,manufacture of non-electric domestic appliances,,,,7.7
2024,manufacture of non-electric domestic appliances,,,,9.1
2015,manufacture of other electrical equipment,,,,
2016,manufacture of other electrical equipment,,,,
2017,manufacture of other electrical equipment,,,,
2018,manufacture of other electrical equipment,,,,
2019,manufacture of other electrical equipment,,,,
2020,manufacture of other electrical equipment,,,,
2021,manufacture of other electrical equipment,,,,17.6
2022,manufacture of other electrical equipment,,,,15.5
2023,manufacture of other electrical equipment,,,,15.9
2024,manufacture of other electrical equipment,,,,17.2
2015,"manufacture of engines and turbines, except aircraft, vehicle and cycle engines",,,,
