Year,Види економічної діяльності,Організаційно-правові форми господарювання,Область,Value
2016,Лиття чавуну,,,
2017,Лиття чавуну,,,
2018,Лиття чавуну,,,
2019,Лиття чавуну,,,
2020,Лиття чавуну,,,
2021,Лиття чавуну,,,
2022,Лиття чавуну,,,12.5
2023,Лиття чавуну,,,13.6
2024,Лиття чавуну,,,14.6
2025,Лиття чавуну,,,14.8
2016,Лиття сталі,,,
2017,Лиття сталі,,,
2018,Лиття сталі,,,
2019,Лиття сталі,,,
2020,Лиття сталі,,,
2021,Лиття сталі,,,
2022,Лиття сталі,,,11.8
2023,Лиття сталі,,,11.8
2024,Лиття сталі,,,6.5
2025,Лиття сталі,,,9.0
2016,Лиття легких кольорових металів,,,
2017,Лиття легких кольорових металів,,,
2018,Лиття легких кольорових металів,,,
2019,Лиття легких кольорових металів,,,
2020,Лиття легких кольорових металів,,,
2021,Лиття легких кольорових металів,,,
2022,Лиття легких кольорових металів,,,13.0
2023,Лиття легких кольорових металів,,,11.8
2024,Лиття легких кольорових металів,,,12.1
2025,Лиття легких кольорових металів,,,10.3
2016,Лиття інших кольорових металів,,,
2017,Лиття інших кольорових металів,,,
2018,Лиття інших кольорових металів,,,
2019,Лиття інших кольорових металів,,,
2020,Лиття інших кольорових металів,,,
2021,Лиття інших кольорових металів,,,
2022,Лиття інших кольорових металів,,,15.8
2023,Лиття інших кольорових металів,,,15.3
2024,Лиття інших кольорових металів,,,15.8
2025,Лиття інших кольорових металів,,,19.3
2016,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2017,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2018,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2019,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2020,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2021,Виробництво будівельних металевих конструкцій і частин конструкцій,,,
2022,Виробництво будівельних металевих конструкцій і частин конструкцій,,,15.4
2023,Виробництво будівельних металевих конструкцій і частин конструкцій,,,15.3
2024,Виробництво будівельних металевих конструкцій і частин конструкцій,,,15.8
2025,Виробництво будівельних металевих конструкцій і частин конструкцій,,,16.8
2016,Виробництво металевих дверей і вікон,,,
2017,Виробництво металевих дверей і вікон,,,
2018,Виробництво металевих дверей і вікон,,,
2019,Виробництво металевих дверей і вікон,,,
2020,Виробництво металевих дверей і вікон,,,
2021,Виробництво металевих дверей і вікон,,,
2022,Виробництво металевих дверей і вікон,,,15.9
2023,Виробництво металевих дверей і вікон,,,14.8
2024,Виробництво металевих дверей і вікон,,,16.3
2025,Виробництво металевих дверей і вікон,,,18.6
2016,Виробництво радіаторів і  котлів центрального опалення,,,
2017,Виробництво радіаторів і  котлів центрального опалення,,,
2018,Виробництво радіаторів і  котлів центрального опалення,,,
2019,Виробництво радіаторів і  котлів центрального опалення,,,
2020,Виробництво радіаторів і  котлів центрального опалення,,,
2021,Виробництво радіаторів і  котлів центрального опалення,,,
2022,Виробництво радіаторів і  котлів центрального опалення,,,13.8
2023,Виробництво радіаторів і  котлів центрального опалення,,,13.9
2024,Виробництво радіаторів і  котлів центрального опалення,,,13.8
2025,Виробництво радіаторів і  котлів центрального опалення,,,14.2
2016,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2017,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2018,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2019,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2020,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2021,"Виробництво інших металевих баків, резервуарів і контейнерів",,,
2022,"Виробництво інших металевих баків, резервуарів і контейнерів",,,19.9
2023,"Виробництво інших металевих баків, резервуарів і контейнерів",,,18.2
2024,"Виробництво інших металевих баків, резервуарів і контейнерів",,,17.4
2025,"Виробництво інших металевих баків, резервуарів і контейнерів",,,20.6
2016,"Виробництво парових котлів, крім котлів центрального опалення",,,
2017,"Виробництво парових котлів, крім котлів центрального опалення",,,
2018,"Виробництво парових котлів, крім котлів центрального опалення",,,
2019,"Виробництво парових котлів, крім котлів центрального опалення",,,
2020,"Виробництво парових котлів, крім котлів центрального опалення",,,
2021,"Виробництво парових котлів, крім котлів центрального опалення",,,
2022,"Виробництво парових котлів, крім котлів центрального опалення",,,15.1
2023,"Виробництво парових котлів, крім котлів центрального опалення",,,14.8
2024,"Виробництво парових котлів, крім котлів центрального опалення",,,13.3
2025,"Виробництво парових котлів, крім котлів центрального опалення",,,11.3
2016,Виробництво зброї та боєприпасів,,,
2017,Виробництво зброї та боєприпасів,,,
2018,Виробництво зброї та боєприпасів,,,
2019,Виробництво зброї та боєприпасів,,,
2020,Виробництво зброї та боєприпасів,,,
2021,Виробництво зброї та боєприпасів,,,
2022,Виробництво зброї та боєприпасів,,,11.5
2023,Виробництво зброї та боєприпасів,,,12.1
2024,Виробництво зброї та боєприпасів,,,11.0
2025,Виробництво зброї та боєприпасів,,,10.4
2016,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2017,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2018,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2019,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2020,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2021,"Кування, пресування, штампування, профілювання; порошкова металургія",,,
2022,"Кування, пресування, штампування, профілювання; порошкова металургія",,,15.7
2023,"Кування, пресування, штампування, профілювання; порошкова металургія",,,14.8
2024,"Кування, пресування, штампування, профілювання; порошкова металургія",,,15.6
2025,"Кування, пресування, штампування, профілювання; порошкова металургія",,,16.8
2016,Оброблення металів та нанесення покриття на метали,,,
2017,Оброблення металів та нанесення покриття на метали,,,
2018,Оброблення металів та нанесення покриття на метали,,,
2019,Оброблення металів та нанесення покриття на метали,,,
2020,Оброблення металів та нанесення покриття на метали,,,
2021,Оброблення металів та нанесення покриття на метали,,,
2022,Оброблення металів та нанесення покриття на метали,,,17.9
2023,Оброблення металів та нанесення покриття на метали,,,18.0
2024,Оброблення металів та нанесення покриття на метали,,,18.7
2025,Оброблення металів та нанесення покриття на метали,,,19.6
2016,Механічне оброблення металевих виробів,,,
2017,Механічне оброблення металевих виробів,,,
2018,Механічне оброблення металевих виробів,,,
2019,Механічне оброблення металевих виробів,,,
2020,Механічне оброблення металевих виробів,,,
2021,Механічне оброблення металевих виробів,,,
2022,Механічне оброблення металевих виробів,,,16.5
2023,Механічне оброблення металевих виробів,,,17.3
2024,Механічне оброблення металевих виробів,,,17.2
2025,Механічне оброблення металевих виробів,,,18.8
2016,Виробництво столових приборів,,,
2017,Виробництво столових приборів,,,
2018,Виробництво столових приборів,,,
2019,Виробництво столових приборів,,,
2020,Виробництво столових приборів,,,
2021,Виробництво столових приборів,,,
2022,Виробництво столових приборів,,,27.3
2023,Виробництво столових приборів,,,25.0
2024,Виробництво столових приборів,,,41.7
2025,Виробництво столових приборів,,,50.0
2016,Виробництво замків і дверних петель,,,
2017,Виробництво замків і дверних петель,,,
2018,Виробництво замків і дверних петель,,,
2019,Виробництво замків і дверних петель,,,
2020,Виробництво замків і дверних петель,,,
2021,Виробництво замків і дверних петель,,,
2022,Виробництво замків і дверних петель,,,5.4
2023,Виробництво замків і дверних петель,,,8.3
2024,Виробництво замків і дверних петель,,,11.1
2025,Виробництво замків і дверних петель,,,12.8
2016,Виробництво інструментів,,,
2017,Виробництво інструментів,,,
2018,Виробництво інструментів,,,
2019,Виробництво інструментів,,,
2020,Виробництво інструментів,,,
2021,Виробництво інструментів,,,
2022,Виробництво інструментів,,,21.2
2023,Виробництво інструментів,,,22.0
2024,Виробництво інструментів,,,22.5
2025,Виробництво інструментів,,,24.0
2016,Виробництво сталевих бочок і подібних контейнерів,,,
2017,Виробництво сталевих бочок і подібних контейнерів,,,
2018,Виробництво сталевих бочок і подібних контейнерів,,,
2019,Виробництво сталевих бочок і подібних контейнерів,,,
2020,Виробництво сталевих бочок і подібних контейнерів,,,
2021,Виробництво сталевих бочок і подібних контейнерів,,,
2022,Виробництво сталевих бочок і подібних контейнерів,,,15.6
2023,Виробництво сталевих бочок і подібних контейнерів,,,15.6
2024,Виробництво сталевих бочок і подібних контейнерів,,,18.9
2025,Виробництво сталевих бочок і подібних контейнерів,,,30.8
2016,Виробництво легких металевих паковань,,,
2017,Виробництво легких металевих паковань,,,
2018,Виробництво легких металевих паковань,,,
2019,Виробництво легких металевих паковань,,,
2020,Виробництво легких металевих паковань,,,
2021,Виробництво легких металевих паковань,,,
2022,Виробництво легких металевих паковань,,,17.2
2023,Виробництво легких металевих паковань,,,19.1
2024,Виробництво легких металевих паковань,,,19.4
2025,Виробництво легких металевих паковань,,,21.1
2016,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2017,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2018,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2019,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2020,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2021,"Виробництво виробів із дроту, ланцюгів і пружин",,,
2022,"Виробництво виробів із дроту, ланцюгів і пружин",,,17.6
2023,"Виробництво виробів із дроту, ланцюгів і пружин",,,17.4
2024,"Виробництво виробів із дроту, ланцюгів і пружин",,,18.3
2025,"Виробництво виробів із дроту, ланцюгів і пружин",,,19.4
2016,Виробництво кріпильних і ґвинтонарізних виробів,,,
2017,Виробництво кріпильних і ґвинтонарізних виробів,,,
2018,Виробництво кріпильних і ґвинтонарізних виробів,,,
2019,Виробництво кріпильних і ґвинтонарізних виробів,,,
2020,Виробництво кріпильних і ґвинтонарізних виробів,,,
2021,Виробництво кріпильних і ґвинтонарізних виробів,,,
2022,Виробництво кріпильних і ґвинтонарізних виробів,,,20.7
2023,Виробництво кріпильних і ґвинтонарізних виробів,,,21.3
2024,Виробництво кріпильних і ґвинтонарізних виробів,,,15.9
2025,Виробництво кріпильних і ґвинтонарізних виробів,,,14.1
2016,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2017,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2018,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2019,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2020,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2021,"Виробництво інших готових металевих виробів, н.в.і.у.",,,
2022,"Виробництво інших готових металевих виробів, н.в.і.у.",,,16.4
2023,"Виробництво інших готових металевих виробів, н.в.і.у.",,,17.7
2024,"Виробництво інших готових металевих виробів, н.в.і.у.",,,19.0
2025,"Виробництво інших готових металевих виробів, н.в.і.у.",,,19.5
2016,Виробництво електронних компонентів,,,
2017,Виробництво електронних компонентів,,,
2018,Виробництво електронних компонентів,,,
2019,Виробництво електронних компонентів,,,
2020,Виробництво електронних компонентів,,,
2021,Виробництво електронних компонентів,,,
2022,Виробництво електронних компонентів,,,17.1
2023,Виробництво електронних компонентів,,,16.1
2024,Виробництво електронних компонентів,,,16.2
2025,Виробництво електронних компонентів,,,21.9
2016,Виробництво змонтованих електронних плат,,,
2017,Виробництво змонтованих електронних плат,,,
2018,Виробництво змонтованих електронних плат,,,
2019,Виробництво змонтованих електронних плат,,,
2020,Виробництво змонтованих електронних плат,,,
2021,Виробництво змонтованих електронних плат,,,
2022,Виробництво змонтованих електронних плат,,,14.3
2023,Виробництво змонтованих електронних плат,,,14.1
2024,Виробництво змонтованих електронних плат,,,13.0
2025,Виробництво змонтованих електронних плат,,,14.6
2016,Виробництво комп'ютерів і периферійного устатковання,,,
2017,Виробництво комп'ютерів і периферійного устатковання,,,
2018,Виробництво комп'ютерів і периферійного устатковання,,,
2019,Виробництво комп'ютерів і периферійного устатковання,,,
2020,Виробництво комп'ютерів і периферійного устатковання,,,
2021,Виробництво комп'ютерів і периферійного устатковання,,,
2022,Виробництво комп'ютерів і периферійного устатковання,,,15.2
2023,Виробництво комп'ютерів і периферійного устатковання,,,15.2
2024,Виробництво комп'ютерів і периферійного устатковання,,,15.7
2025,Виробництво комп'ютерів і периферійного устатковання,,,15.9
2016,Виробництво обладнання зв'язку,,,
2017,Виробництво обладнання зв'язку,,,
2018,Виробництво обладнання зв'язку,,,
2019,Виробництво обладнання зв'язку,,,
2020,Виробництво обладнання зв'язку,,,
2021,Виробництво обладнання зв'язку,,,
2022,Виробництво обладнання зв'язку,,,10.1
2023,Виробництво обладнання зв'язку,,,9.4
2024,Виробництво обладнання зв'язку,,,11.9
2025,Виробництво обладнання зв'язку,,,12.8
2016,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2017,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2018,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2019,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2020,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2021,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,
2022,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,10.6
2023,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,11.4
2024,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,13.0
2025,"Виробництво електронної апаратури побутового призначення для приймання, записування та відтворювання звуку й зображення",,,17.1
2016,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2017,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2018,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2019,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2020,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2021,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,
2022,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,12.8
2023,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,12.3
2024,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,12.8
2025,"Виробництво інструментів і обладнання для вимірювання, дослідження та навігації",,,13.0
2016,Виробництво годинників,,,
2017,Виробництво годинників,,,
2018,Виробництво годинників,,,
2019,Виробництво годинників,,,
2020,Виробництво годинників,,,
2021,Виробництво годинників,,,
2022,Виробництво годинників,,,10.0
2023,Виробництво годинників,,,11.1
2024,Виробництво годинників,,,11.1
2025,Виробництво годинників,,,11.1
2016,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2017,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2018,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2019,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2020,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2021,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,
2022,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,18.8
2023,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,19.2
2024,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,20.0
2025,"Виробництво радіологічного, електромедичного й електротерапевтичного устатковання",,,21.6
2016,Виробництво оптичних приладів і фотографічного устатковання,,,
2017,Виробництво оптичних приладів і фотографічного устатковання,,,
2018,Виробництво оптичних приладів і фотографічного устатковання,,,
2019,Виробництво оптичних приладів і фотографічного устатковання,,,
2020,Виробництво оптичних приладів і фотографічного устатковання,,,
2021,Виробництво оптичних приладів і фотографічного устатковання,,,
2022,Виробництво оптичних приладів і фотографічного устатковання,,,14.3
2023,Виробництво оптичних приладів і фотографічного устатковання,,,17.9
2024,Виробництво оптичних приладів і фотографічного устатковання,,,17.1
2025,Виробництво оптичних приладів і фотографічного устатковання,,,14.3
2016,Виробництво магнітних і оптичних носіїв даних,,,
2017,Виробництво магнітних і оптичних носіїв даних,,,
2018,Виробництво магнітних і оптичних носіїв даних,,,
2019,Виробництво магнітних і оптичних носіїв даних,,,
2020,Виробництво магнітних і оптичних носіїв даних,,,
2021,Виробництво магнітних і оптичних носіїв даних,,,
2022,Виробництво магнітних і оптичних носіїв даних,,,42.9
2023,Виробництво магнітних і оптичних носіїв даних,,,42.9
2024,Виробництво магнітних і оптичних носіїв даних,,,35.7
2025,Виробництво магнітних і оптичних носіїв даних,,,35.7
2016,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2017,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2018,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2019,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2020,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2021,"Виробництво електродвигунів, генераторів і трансформаторів",,,
2022,"Виробництво електродвигунів, генераторів і трансформаторів",,,16.2
2023,"Виробництво електродвигунів, генераторів і трансформаторів",,,18.1
2024,"Виробництво електродвигунів, генераторів і трансформаторів",,,18.3
2025,"Виробництво електродвигунів, генераторів і трансформаторів",,,20.9
2016,Виробництво електророзподільчої та контрольної апаратури,,,
2017,Виробництво електророзподільчої та контрольної апаратури,,,
2018,Виробництво електророзподільчої та контрольної апаратури,,,
2019,Виробництво електророзподільчої та контрольної апаратури,,,
2020,Виробництво електророзподільчої та контрольної апаратури,,,
2021,Виробництво електророзподільчої та контрольної апаратури,,,
2022,Виробництво електророзподільчої та контрольної апаратури,,,14.4
2023,Виробництво електророзподільчої та контрольної апаратури,,,16.0
2024,Виробництво електророзподільчої та контрольної апаратури,,,17.3
2025,Виробництво електророзподільчої та контрольної апаратури,,,17.8
2016,Виробництво батарей і акумуляторів,,,
2017,Виробництво батарей і акумуляторів,,,
2018,Виробництво батарей і акумуляторів,,,
2019,Виробництво батарей і акумуляторів,,,
2020,Виробництво батарей і акумуляторів,,,
2021,Виробництво батарей і акумуляторів,,,
2022,Виробництво батарей і акумуляторів,,,8.6
2023,Виробництво батарей і акумуляторів,,,13.4
2024,Виробництво батарей і акумуляторів,,,10.6
2025,Виробництво батарей і акумуляторів,,,12.7
2016,Виробництво волоконно-оптичних кабелів,,,
2017,Виробництво волоконно-оптичних кабелів,,,
2018,Виробництво волоконно-оптичних кабелів,,,
2019,Виробництво волоконно-оптичних кабелів,,,
2020,Виробництво волоконно-оптичних кабелів,,,
2021,Виробництво волоконно-оптичних кабелів,,,
2022,Виробництво волоконно-оптичних кабелів,,,33.3
2023,Виробництво волоконно-оптичних кабелів,,,33.3
2024,Виробництво волоконно-оптичних кабелів,,,26.7
2025,Виробництво волоконно-оптичних кабелів,,,25.0
2016,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2017,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2018,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2019,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2020,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2021,Виробництво інших видів електронних і електричних проводів та кабелів,,,
2022,Виробництво інших видів електронних і електричних проводів та кабелів,,,14.9
2023,Виробництво інших видів електронних і електричних проводів та кабелів,,,15.4
2024,Виробництво інших видів електронних і електричних проводів та кабелів,,,17.4
2025,Виробництво інших видів електронних і електричних проводів та кабелів,,,17.7
2016,Виробництво електромонтажних пристроїв,,,
2017,Виробництво електромонтажних пристроїв,,,
2018,Виробництво електромонтажних пристроїв,,,
2019,Виробництво електромонтажних пристроїв,,,
2020,Виробництво електромонтажних пристроїв,,,
2021,Виробництво електромонтажних пристроїв,,,
2022,Виробництво електромонтажних пристроїв,,,11.7
2023,Виробництво електромонтажних пристроїв,,,11.3
2024,Виробництво електромонтажних пристроїв,,,12.3
2025,Виробництво електромонтажних пристроїв,,,16.9
2016,Виробництво електричного освітлювального устатковання,,,
2017,Виробництво електричного освітлювального устатковання,,,
2018,Виробництво електричного освітлювального устатковання,,,
2019,Виробництво електричного освітлювального устатковання,,,
2020,Виробництво електричного освітлювального устатковання,,,
2021,Виробництво електричного освітлювального устатковання,,,
2022,Виробництво електричного освітлювального устатковання,,,13.6
2023,Виробництво електричного освітлювального устатковання,,,12.3
2024,Виробництво електричного освітлювального устатковання,,,12.9
2025,Виробництво електричного освітлювального устатковання,,,17.3
2016,Виробництво електричних побутових приладів,,,
2017,Виробництво електричних побутових приладів,,,
2018,Виробництво електричних побутових приладів,,,
2019,Виробництво електричних побутових приладів,,,
2020,Виробництво електричних побутових приладів,,,
2021,Виробництво електричних побутових приладів,,,
2022,Виробництво електричних побутових приладів,,,16.2
2023,Виробництво електричних побутових приладів,,,17.0
2024,Виробництво електричних побутових приладів,,,18.1
2025,Виробництво електричних побутових приладів,,,18.4
2016,Виробництво неелектричних побутових приладів,,,
2017,Виробництво неелектричних побутових приладів,,,
2018,Виробництво неелектричних побутових приладів,,,
2019,Виробництво неелектричних побутових приладів,,,
2020,Виробництво неелектричних побутових приладів,,,
2021,Виробництво неелектричних побутових приладів,,,
2022,Виробництво неелектричних побутових приладів,,,16.2
2023,Виробництво неелектричних побутових приладів,,,16.2
2024,Виробництво неелектричних побутових приладів,,,16.2
2025,Виробництво неелектричних побутових приладів,,,15.8
2016,Виробництво іншого електричного устатковання,,,
2017,Виробництво іншого електричного устатковання,,,
2018,Виробництво іншого електричного устатковання,,,
2019,Виробництво іншого електричного устатковання,,,
2020,Виробництво іншого електричного устатковання,,,
2021,Виробництво іншого електричного устатковання,,,
2022,Виробництво іншого електричного устатковання,,,21.9
2023,Виробництво іншого електричного устатковання,,,20.1
2024,Виробництво іншого електричного устатковання,,,20.0
2025,Виробництво іншого електричного устатковання,,,20.1
2016,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2017,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2018,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2019,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2020,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2021,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,
2022,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,10.2
2023,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,9.1
2024,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,9.6
2025,"Виробництво двигунів і турбін, крім авіаційних, автотранспортних і мотоциклетних двигунів",,,9.8
2016,Виробництво гідравлічного та пневматичного устатковання,,,
2017,Виробництво гідравлічного та пневматичного устатковання,,,
2018,Виробництво гідравлічного та пневматичного устатковання,,,
2019,Виробництво гідравлічного та пневматичного устатковання,,,
2020,Виробництво гідравлічного та пневматичного устатковання,,,
2021,Виробництво гідравлічного та пневматичного устатковання,,,
2022,Виробництво гідравлічного та пневматичного устатковання,,,14.4
2023,Виробництво гідравлічного та пневматичного устатковання,,,14.7
2024,Виробництво гідравлічного та пневматичного устатковання,,,17.5
2025,Виробництво гідравлічного та пневматичного устатковання,,,16.9
2016,Виробництво інших помп і компресорів,,,
2017,Виробництво інших помп і компресорів,,,
2018,Виробництво інших помп і компресорів,,,
2019,Виробництво інших помп і компресорів,,,
2020,Виробництво інших помп і компресорів,,,
2021,Виробництво інших помп і компресорів,,,
2022,Виробництво інших помп і компресорів,,,14.1
2023,Виробництво інших помп і компресорів,,,12.9
2024,Виробництво інших помп і компресорів,,,13.7
2025,Виробництво інших помп і компресорів,,,14.7
2016,Виробництво інших кранів і клапанів,,,
2017,Виробництво інших кранів і клапанів,,,
2018,Виробництво інших кранів і клапанів,,,
2019,Виробництво інших кранів і клапанів,,,
2020,Виробництво інших кранів і клапанів,,,
2021,Виробництво інших кранів і клапанів,,,
